model,strategy,method,feature,importance,rank
Decision Tree,SMOTE,Built-in,age,0.4792739643511035,1
Decision Tree,SMOTE,Built-in,waist_circumference,0.1618669883191338,2
Decision Tree,SMOTE,Built-in,vigorous_recreational_activity,0.1032927900932148,3
Decision Tree,SMOTE,Built-in,moderate_work_activity,0.0673312199552928,4
Decision Tree,SMOTE,Built-in,total_cholesterol_mg_dl,0.0636230542578153,5
Decision Tree,SMOTE,Built-in,income_poverty_ratio,0.0334583077731612,6
Decision Tree,SMOTE,Built-in,vigorous_work_activity,0.0249608083272677,7
Decision Tree,SMOTE,Built-in,ever_smoked_100_cigarettes,0.0114941124366495,8
Decision Tree,SMOTE,Built-in,race_ethnicity_6.0,0.0071041751792249,9
Decision Tree,SMOTE,Built-in,hdl_cholesterol_mg_dl,0.0065346179867315,10
Decision Tree,SMOTE,Permutation,age,0.13327408160831927,1
Decision Tree,SMOTE,Permutation,waist_circumference,0.051239772651022565,2
Decision Tree,SMOTE,Permutation,total_cholesterol_mg_dl,0.026492243169175967,3
Decision Tree,SMOTE,Permutation,vigorous_recreational_activity,0.011035314977487665,4
Decision Tree,SMOTE,Permutation,bmi,0.0045693784639269765,5
Decision Tree,SMOTE,Permutation,income_poverty_ratio,0.003709735659022939,6
Decision Tree,SMOTE,Permutation,vigorous_work_activity,0.0020026632501886966,7
Decision Tree,SMOTE,Permutation,moderate_work_activity,0.0019682804344038018,8
Decision Tree,SMOTE,Permutation,race_ethnicity_3.0,0.001960834243691556,9
Decision Tree,SMOTE,Permutation,race_ethnicity_6.0,0.0013173482002907465,10
Decision Tree,SMOTE,SHAP,age,0.172933669636037,1
Decision Tree,SMOTE,SHAP,waist_circumference,0.0962632354181944,2
Decision Tree,SMOTE,SHAP,total_cholesterol_mg_dl,0.0605597431131001,3
Decision Tree,SMOTE,SHAP,vigorous_recreational_activity,0.0424389717099134,4
Decision Tree,SMOTE,SHAP,income_poverty_ratio,0.0225446380828093,5
Decision Tree,SMOTE,SHAP,moderate_work_activity,0.0199784985355752,6
Decision Tree,SMOTE,SHAP,vigorous_work_activity,0.0111506932771671,7
Decision Tree,SMOTE,SHAP,race_ethnicity_6.0,0.0053388737895402,8
Decision Tree,SMOTE,SHAP,total_sugar_g,0.0052396328400443,9
Decision Tree,SMOTE,SHAP,hdl_cholesterol_mg_dl,0.0050537625047238,10
