model,strategy,method,feature,importance,rank
Decision Tree,SMOTE,Permutation,age,0.1332699300854585,1
Decision Tree,SMOTE,Permutation,waist_circumference,0.05115831108326256,2
Decision Tree,SMOTE,Permutation,total_cholesterol_mg_dl,0.026475926718863063,3
Decision Tree,SMOTE,Permutation,vigorous_recreational_activity,0.011026939521483814,4
Decision Tree,SMOTE,Permutation,bmi,0.004571405951835516,5
Decision Tree,SMOTE,Permutation,income_poverty_ratio,0.00397953637144346,6
Decision Tree,SMOTE,Permutation,vigorous_work_activity,0.001998173812676485,7
Decision Tree,SMOTE,Permutation,moderate_work_activity,0.0019679425197523413,8
Decision Tree,SMOTE,Permutation,race_ethnicity_3.0,0.001963296193294872,9
Decision Tree,SMOTE,Permutation,race_ethnicity_6.0,0.0013163827298579677,10
Decision Tree,SMOTE,Permutation,carbohydrate_g,0.0011747723541402522,11
Decision Tree,SMOTE,Permutation,fiber_g,0.0008445935345341327,12
Decision Tree,SMOTE,Permutation,total_sugar_g,0.0007327075797635141,13
Decision Tree,SMOTE,Permutation,hdl_cholesterol_mg_dl,0.0007255751669418053,14
Decision Tree,SMOTE,Permutation,mean_systolic_bp,0.0006430877868472962,15
Decision Tree,SMOTE,Permutation,race_ethnicity_4.0,0.00038534338645515034,16
Decision Tree,SMOTE,Permutation,protein_g,0.0002064658520348761,17
Decision Tree,SMOTE,Permutation,ever_smoked_100_cigarettes,0.00011013603961128604,18
Decision Tree,SMOTE,Permutation,walk_or_bicycle_transport,0.0,19
Decision Tree,SMOTE,Permutation,moderate_recreational_activity,0.0,20
Decision Tree,SMOTE,Permutation,total_fat_g,0.0,21
Decision Tree,SMOTE,Permutation,alcohol_info_missing,0.0,22
Decision Tree,SMOTE,Permutation,race_ethnicity_2.0,0.0,23
Decision Tree,SMOTE,Permutation,race_ethnicity_7.0,0.0,24
Decision Tree,SMOTE,Permutation,education_level_2.0,0.0,25
Decision Tree,SMOTE,Permutation,education_level_3.0,0.0,26
Decision Tree,SMOTE,Permutation,education_level_4.0,0.0,27
Decision Tree,SMOTE,Permutation,education_level_5.0,0.0,28
Decision Tree,SMOTE,Permutation,average_alcoholic_drinks_per_day,-5.067512933687457e-05,29
Decision Tree,SMOTE,Permutation,cholesterol_mg,-0.00010192954093337647,30
Decision Tree,SMOTE,Permutation,sex_2.0,-0.00013107467962074625,31
Decision Tree,SMOTE,Permutation,ldl_cholesterol_mg_dl,-0.0002760159283312413,32
Decision Tree,SMOTE,Permutation,triglycerides_mg_dl,-0.00034043694295385893,33
Decision Tree,SMOTE,Permutation,mean_diastolic_bp,-0.0006354605704290584,34
Decision Tree,SMOTE,Permutation,sleep_hours,-0.0007583287513715619,35
Decision Tree,SMOTE,Permutation,energy_kcal,-0.0019653960914860712,36
