model,strategy,method,feature,importance,rank
Decision Tree,SMOTE,SHAP,age,0.17290427041560405,1
Decision Tree,SMOTE,SHAP,waist_circumference,0.09623131262825191,2
Decision Tree,SMOTE,SHAP,total_cholesterol_mg_dl,0.06055974311310017,3
Decision Tree,SMOTE,SHAP,vigorous_recreational_activity,0.04243897170991341,4
Decision Tree,SMOTE,SHAP,income_poverty_ratio,0.022576297474344018,5
Decision Tree,SMOTE,SHAP,moderate_work_activity,0.019978498535575293,6
Decision Tree,SMOTE,SHAP,vigorous_work_activity,0.011150693277167122,7
Decision Tree,SMOTE,SHAP,race_ethnicity_6.0,0.00533887378954024,8
Decision Tree,SMOTE,SHAP,total_sugar_g,0.005239632840044311,9
Decision Tree,SMOTE,SHAP,hdl_cholesterol_mg_dl,0.00505376250472386,10
Decision Tree,SMOTE,SHAP,fiber_g,0.0031450954673381162,11
Decision Tree,SMOTE,SHAP,ever_smoked_100_cigarettes,0.0029472504009832893,12
Decision Tree,SMOTE,SHAP,ldl_cholesterol_mg_dl,0.0028919953468429993,13
Decision Tree,SMOTE,SHAP,energy_kcal,0.002882644601746561,14
Decision Tree,SMOTE,SHAP,triglycerides_mg_dl,0.0026654728472355624,15
Decision Tree,SMOTE,SHAP,average_alcoholic_drinks_per_day,0.0022577767363402344,16
Decision Tree,SMOTE,SHAP,bmi,0.002244001570669964,17
Decision Tree,SMOTE,SHAP,race_ethnicity_3.0,0.0020732106327486814,18
Decision Tree,SMOTE,SHAP,sex_2.0,0.0019806916320586855,19
Decision Tree,SMOTE,SHAP,carbohydrate_g,0.0013973662919111167,20
Decision Tree,SMOTE,SHAP,mean_diastolic_bp,0.0011254538904969275,21
Decision Tree,SMOTE,SHAP,protein_g,0.0010413212384891989,22
Decision Tree,SMOTE,SHAP,mean_systolic_bp,0.001014265275555824,23
Decision Tree,SMOTE,SHAP,cholesterol_mg,0.000987892164633069,24
Decision Tree,SMOTE,SHAP,sleep_hours,0.0007664130711339001,25
Decision Tree,SMOTE,SHAP,race_ethnicity_4.0,0.0005726489569033246,26
Decision Tree,SMOTE,SHAP,walk_or_bicycle_transport,0.0,27
Decision Tree,SMOTE,SHAP,moderate_recreational_activity,0.0,28
Decision Tree,SMOTE,SHAP,total_fat_g,0.0,29
Decision Tree,SMOTE,SHAP,alcohol_info_missing,0.0,30
Decision Tree,SMOTE,SHAP,race_ethnicity_2.0,0.0,31
Decision Tree,SMOTE,SHAP,race_ethnicity_7.0,0.0,32
Decision Tree,SMOTE,SHAP,education_level_2.0,0.0,33
Decision Tree,SMOTE,SHAP,education_level_3.0,0.0,34
Decision Tree,SMOTE,SHAP,education_level_4.0,0.0,35
Decision Tree,SMOTE,SHAP,education_level_5.0,0.0,36
