model,strategy,method,feature,importance,rank
Decision Tree,Random Undersampling,Built-in,age,0.4272840164289164,1
Decision Tree,Random Undersampling,Built-in,waist_circumference,0.223670054743003,2
Decision Tree,Random Undersampling,Built-in,total_cholesterol_mg_dl,0.0857674641841012,3
Decision Tree,Random Undersampling,Built-in,race_ethnicity_3.0,0.0450308705714391,4
Decision Tree,Random Undersampling,Built-in,total_sugar_g,0.0402841379475978,5
Decision Tree,Random Undersampling,Built-in,hdl_cholesterol_mg_dl,0.0294907112933796,6
Decision Tree,Random Undersampling,Built-in,triglycerides_mg_dl,0.0290848185619201,7
Decision Tree,Random Undersampling,Built-in,mean_diastolic_bp,0.0170980217903928,8
Decision Tree,Random Undersampling,Built-in,income_poverty_ratio,0.0166445425975244,9
Decision Tree,Random Undersampling,Built-in,mean_systolic_bp,0.0128081340555409,10
Decision Tree,Random Undersampling,Permutation,age,0.15386120590153457,1
Decision Tree,Random Undersampling,Permutation,waist_circumference,0.059693564512010175,2
Decision Tree,Random Undersampling,Permutation,total_cholesterol_mg_dl,0.02949264770128729,3
Decision Tree,Random Undersampling,Permutation,race_ethnicity_3.0,0.015894491460172622,4
Decision Tree,Random Undersampling,Permutation,total_sugar_g,0.006480032381878309,5
Decision Tree,Random Undersampling,Permutation,triglycerides_mg_dl,0.006233185728995294,6
Decision Tree,Random Undersampling,Permutation,hdl_cholesterol_mg_dl,0.005977565363555093,7
Decision Tree,Random Undersampling,Permutation,mean_diastolic_bp,0.002868026467406426,8
Decision Tree,Random Undersampling,Permutation,income_poverty_ratio,0.0020331721158621807,9
Decision Tree,Random Undersampling,Permutation,protein_g,0.0015557228501266284,10
Decision Tree,Random Undersampling,SHAP,age,0.1815301157327399,1
Decision Tree,Random Undersampling,SHAP,waist_circumference,0.1005165577585728,2
Decision Tree,Random Undersampling,SHAP,total_cholesterol_mg_dl,0.0501587221884794,3
Decision Tree,Random Undersampling,SHAP,race_ethnicity_3.0,0.0418835604453787,4
Decision Tree,Random Undersampling,SHAP,hdl_cholesterol_mg_dl,0.0224727780949209,5
Decision Tree,Random Undersampling,SHAP,total_sugar_g,0.0219314254231684,6
Decision Tree,Random Undersampling,SHAP,triglycerides_mg_dl,0.0178475012711617,7
Decision Tree,Random Undersampling,SHAP,mean_systolic_bp,0.0087983582547674,8
Decision Tree,Random Undersampling,SHAP,mean_diastolic_bp,0.0083018722650939,9
Decision Tree,Random Undersampling,SHAP,income_poverty_ratio,0.0079835622708926,10
