model,strategy,method,feature,importance,rank
Decision Tree,Random Undersampling,Built-in,age,0.4272840164289164,1
Decision Tree,Random Undersampling,Built-in,waist_circumference,0.22367005474300303,2
Decision Tree,Random Undersampling,Built-in,total_cholesterol_mg_dl,0.08576746418410121,3
Decision Tree,Random Undersampling,Built-in,race_ethnicity_3.0,0.04503087057143911,4
Decision Tree,Random Undersampling,Built-in,total_sugar_g,0.04028413794759788,5
Decision Tree,Random Undersampling,Built-in,hdl_cholesterol_mg_dl,0.02949071129337965,6
Decision Tree,Random Undersampling,Built-in,triglycerides_mg_dl,0.029084818561920134,7
Decision Tree,Random Undersampling,Built-in,mean_diastolic_bp,0.017098021790392895,8
Decision Tree,Random Undersampling,Built-in,income_poverty_ratio,0.016644542597524414,9
Decision Tree,Random Undersampling,Built-in,mean_systolic_bp,0.01280813405554091,10
Decision Tree,Random Undersampling,Built-in,bmi,0.0106951252699361,11
Decision Tree,Random Undersampling,Built-in,protein_g,0.009638376750935339,12
Decision Tree,Random Undersampling,Built-in,fiber_g,0.008680566202825642,13
Decision Tree,Random Undersampling,Built-in,carbohydrate_g,0.007334195165082281,14
Decision Tree,Random Undersampling,Built-in,education_level_5.0,0.006941327651267904,15
Decision Tree,Random Undersampling,Built-in,race_ethnicity_6.0,0.004534656636991627,16
Decision Tree,Random Undersampling,Built-in,sex_2.0,0.003967424316527478,17
Decision Tree,Random Undersampling,Built-in,race_ethnicity_2.0,0.00354883685679784,18
Decision Tree,Random Undersampling,Built-in,ldl_cholesterol_mg_dl,0.0030213068410281183,19
Decision Tree,Random Undersampling,Built-in,cholesterol_mg,0.002585368053769725,20
Decision Tree,Random Undersampling,Built-in,energy_kcal,0.0023743246029803993,21
Decision Tree,Random Undersampling,Built-in,sleep_hours,0.002218117682301928,22
Decision Tree,Random Undersampling,Built-in,total_fat_g,0.002140201085341085,23
Decision Tree,Random Undersampling,Built-in,average_alcoholic_drinks_per_day,0.001976932429166175,24
Decision Tree,Random Undersampling,Built-in,vigorous_recreational_activity,0.001836034053313522,25
Decision Tree,Random Undersampling,Built-in,race_ethnicity_4.0,0.0013444342279191575,26
Decision Tree,Random Undersampling,Built-in,ever_smoked_100_cigarettes,0.0,27
Decision Tree,Random Undersampling,Built-in,vigorous_work_activity,0.0,28
Decision Tree,Random Undersampling,Built-in,moderate_work_activity,0.0,29
Decision Tree,Random Undersampling,Built-in,walk_or_bicycle_transport,0.0,30
Decision Tree,Random Undersampling,Built-in,moderate_recreational_activity,0.0,31
Decision Tree,Random Undersampling,Built-in,alcohol_info_missing,0.0,32
Decision Tree,Random Undersampling,Built-in,race_ethnicity_7.0,0.0,33
Decision Tree,Random Undersampling,Built-in,education_level_2.0,0.0,34
Decision Tree,Random Undersampling,Built-in,education_level_3.0,0.0,35
Decision Tree,Random Undersampling,Built-in,education_level_4.0,0.0,36
