model,strategy,method,feature,importance,rank
Decision Tree,Random Undersampling,Permutation,age,0.15386120590153457,1
Decision Tree,Random Undersampling,Permutation,waist_circumference,0.059693564512010175,2
Decision Tree,Random Undersampling,Permutation,total_cholesterol_mg_dl,0.02949264770128729,3
Decision Tree,Random Undersampling,Permutation,race_ethnicity_3.0,0.015894491460172622,4
Decision Tree,Random Undersampling,Permutation,total_sugar_g,0.006480032381878309,5
Decision Tree,Random Undersampling,Permutation,triglycerides_mg_dl,0.006233185728995294,6
Decision Tree,Random Undersampling,Permutation,hdl_cholesterol_mg_dl,0.005977565363555093,7
Decision Tree,Random Undersampling,Permutation,mean_diastolic_bp,0.002868026467406426,8
Decision Tree,Random Undersampling,Permutation,income_poverty_ratio,0.0020331721158621807,9
Decision Tree,Random Undersampling,Permutation,protein_g,0.0015557228501266284,10
Decision Tree,Random Undersampling,Permutation,energy_kcal,0.0013812744113164688,11
Decision Tree,Random Undersampling,Permutation,fiber_g,0.0012243492608599248,12
Decision Tree,Random Undersampling,Permutation,mean_systolic_bp,0.001156995629798052,13
Decision Tree,Random Undersampling,Permutation,sex_2.0,0.0009530037957469651,14
Decision Tree,Random Undersampling,Permutation,race_ethnicity_6.0,0.00037885059779512175,15
Decision Tree,Random Undersampling,Permutation,education_level_5.0,0.0003498020061509788,16
Decision Tree,Random Undersampling,Permutation,sleep_hours,0.0003458556457573203,17
Decision Tree,Random Undersampling,Permutation,bmi,0.0003308305121482502,18
Decision Tree,Random Undersampling,Permutation,race_ethnicity_4.0,0.0003283444257839996,19
Decision Tree,Random Undersampling,Permutation,average_alcoholic_drinks_per_day,0.00021195696512088524,20
Decision Tree,Random Undersampling,Permutation,race_ethnicity_2.0,0.00012253026629119868,21
Decision Tree,Random Undersampling,Permutation,ldl_cholesterol_mg_dl,8.832847621247364e-05,22
Decision Tree,Random Undersampling,Permutation,total_fat_g,1.3009714080736145e-05,23
Decision Tree,Random Undersampling,Permutation,ever_smoked_100_cigarettes,0.0,24
Decision Tree,Random Undersampling,Permutation,vigorous_work_activity,0.0,25
Decision Tree,Random Undersampling,Permutation,moderate_work_activity,0.0,26
Decision Tree,Random Undersampling,Permutation,walk_or_bicycle_transport,0.0,27
Decision Tree,Random Undersampling,Permutation,moderate_recreational_activity,0.0,28
Decision Tree,Random Undersampling,Permutation,alcohol_info_missing,0.0,29
Decision Tree,Random Undersampling,Permutation,race_ethnicity_7.0,0.0,30
Decision Tree,Random Undersampling,Permutation,education_level_2.0,0.0,31
Decision Tree,Random Undersampling,Permutation,education_level_3.0,0.0,32
Decision Tree,Random Undersampling,Permutation,education_level_4.0,0.0,33
Decision Tree,Random Undersampling,Permutation,cholesterol_mg,-3.100366927042408e-05,34
Decision Tree,Random Undersampling,Permutation,vigorous_recreational_activity,-3.410524303544271e-05,35
Decision Tree,Random Undersampling,Permutation,carbohydrate_g,-0.0008335992399817083,36
