model,strategy,method,feature,importance,rank
Decision Tree,Random Undersampling,SHAP,age,0.18153011573273994,1
Decision Tree,Random Undersampling,SHAP,waist_circumference,0.10051655775857281,2
Decision Tree,Random Undersampling,SHAP,total_cholesterol_mg_dl,0.050158722188479436,3
Decision Tree,Random Undersampling,SHAP,race_ethnicity_3.0,0.04188356044537875,4
Decision Tree,Random Undersampling,SHAP,hdl_cholesterol_mg_dl,0.022472778094920938,5
Decision Tree,Random Undersampling,SHAP,total_sugar_g,0.021931425423168404,6
Decision Tree,Random Undersampling,SHAP,triglycerides_mg_dl,0.017847501271161702,7
Decision Tree,Random Undersampling,SHAP,mean_systolic_bp,0.008798358254767456,8
Decision Tree,Random Undersampling,SHAP,mean_diastolic_bp,0.008301872265093968,9
Decision Tree,Random Undersampling,SHAP,income_poverty_ratio,0.007983562270892626,10
Decision Tree,Random Undersampling,SHAP,fiber_g,0.004992228325523493,11
Decision Tree,Random Undersampling,SHAP,bmi,0.004197094199841889,12
Decision Tree,Random Undersampling,SHAP,energy_kcal,0.002815041177308968,13
Decision Tree,Random Undersampling,SHAP,protein_g,0.002670989468994342,14
Decision Tree,Random Undersampling,SHAP,sex_2.0,0.002609540796934999,15
Decision Tree,Random Undersampling,SHAP,carbohydrate_g,0.0024908792024889038,16
Decision Tree,Random Undersampling,SHAP,race_ethnicity_6.0,0.0023499625195975487,17
Decision Tree,Random Undersampling,SHAP,education_level_5.0,0.0022202408018903393,18
Decision Tree,Random Undersampling,SHAP,sleep_hours,0.0020026787608229102,19
Decision Tree,Random Undersampling,SHAP,vigorous_recreational_activity,0.0014050005096855026,20
Decision Tree,Random Undersampling,SHAP,average_alcoholic_drinks_per_day,0.001251662595257099,21
Decision Tree,Random Undersampling,SHAP,cholesterol_mg,0.001122346085428802,22
Decision Tree,Random Undersampling,SHAP,race_ethnicity_2.0,0.0010657695468748536,23
Decision Tree,Random Undersampling,SHAP,race_ethnicity_4.0,0.0009658800887795765,24
Decision Tree,Random Undersampling,SHAP,ldl_cholesterol_mg_dl,0.0006651106840180861,25
Decision Tree,Random Undersampling,SHAP,total_fat_g,0.0005989732183509338,26
Decision Tree,Random Undersampling,SHAP,ever_smoked_100_cigarettes,0.0,27
Decision Tree,Random Undersampling,SHAP,vigorous_work_activity,0.0,28
Decision Tree,Random Undersampling,SHAP,moderate_work_activity,0.0,29
Decision Tree,Random Undersampling,SHAP,walk_or_bicycle_transport,0.0,30
Decision Tree,Random Undersampling,SHAP,moderate_recreational_activity,0.0,31
Decision Tree,Random Undersampling,SHAP,alcohol_info_missing,0.0,32
Decision Tree,Random Undersampling,SHAP,race_ethnicity_7.0,0.0,33
Decision Tree,Random Undersampling,SHAP,education_level_2.0,0.0,34
Decision Tree,Random Undersampling,SHAP,education_level_3.0,0.0,35
Decision Tree,Random Undersampling,SHAP,education_level_4.0,0.0,36
