model,strategy,method,feature,importance,rank
Logistic Regression,SMOTE,Permutation,age,0.11509014999709555,1
Logistic Regression,SMOTE,Permutation,waist_circumference,0.030528545179269374,2
Logistic Regression,SMOTE,Permutation,hdl_cholesterol_mg_dl,0.016912821399072877,3
Logistic Regression,SMOTE,Permutation,triglycerides_mg_dl,0.008866952864285264,4
Logistic Regression,SMOTE,Permutation,total_sugar_g,0.007876307790043002,5
Logistic Regression,SMOTE,Permutation,mean_systolic_bp,0.004009333202673034,6
Logistic Regression,SMOTE,Permutation,race_ethnicity_6.0,0.0036846294049790156,7
Logistic Regression,SMOTE,Permutation,average_alcoholic_drinks_per_day,0.0031337078393141667,8
Logistic Regression,SMOTE,Permutation,income_poverty_ratio,0.0030353907669166385,9
Logistic Regression,SMOTE,Permutation,race_ethnicity_4.0,0.0029274109446050358,10
Logistic Regression,SMOTE,Permutation,race_ethnicity_3.0,0.002397794093155355,11
Logistic Regression,SMOTE,Permutation,bmi,0.002246311782263251,12
Logistic Regression,SMOTE,Permutation,total_cholesterol_mg_dl,0.0018094605482230851,13
Logistic Regression,SMOTE,Permutation,education_level_3.0,0.0015435217175332843,14
Logistic Regression,SMOTE,Permutation,fiber_g,0.0014994238555192884,15
Logistic Regression,SMOTE,Permutation,vigorous_recreational_activity,0.0011331565556971272,16
Logistic Regression,SMOTE,Permutation,carbohydrate_g,0.0011091404786834754,17
Logistic Regression,SMOTE,Permutation,energy_kcal,0.0009907416212855365,18
Logistic Regression,SMOTE,Permutation,moderate_work_activity,0.0009133993940385942,19
Logistic Regression,SMOTE,Permutation,ldl_cholesterol_mg_dl,0.0008831640783209082,20
Logistic Regression,SMOTE,Permutation,mean_diastolic_bp,0.0008565895046605765,21
Logistic Regression,SMOTE,Permutation,education_level_4.0,0.000608053278520367,22
Logistic Regression,SMOTE,Permutation,cholesterol_mg,0.0003781184493836909,23
Logistic Regression,SMOTE,Permutation,race_ethnicity_2.0,0.000242815813826421,24
Logistic Regression,SMOTE,Permutation,education_level_5.0,0.0002059831168185533,25
Logistic Regression,SMOTE,Permutation,race_ethnicity_7.0,0.00017425936751713038,26
Logistic Regression,SMOTE,Permutation,education_level_2.0,0.00017160432382718287,27
Logistic Regression,SMOTE,Permutation,ever_smoked_100_cigarettes,0.0001487307201588702,28
Logistic Regression,SMOTE,Permutation,vigorous_work_activity,0.0001463894543595449,29
Logistic Regression,SMOTE,Permutation,total_fat_g,2.933420998048053e-05,30
Logistic Regression,SMOTE,Permutation,sleep_hours,-8.089837667409153e-05,31
Logistic Regression,SMOTE,Permutation,protein_g,-0.00010332142747375706,32
Logistic Regression,SMOTE,Permutation,alcohol_info_missing,-0.00042088878955267954,33
Logistic Regression,SMOTE,Permutation,sex_2.0,-0.0004228358215920158,34
Logistic Regression,SMOTE,Permutation,moderate_recreational_activity,-0.0005097201149489195,35
Logistic Regression,SMOTE,Permutation,walk_or_bicycle_transport,-0.0005270583548029931,36
