model,strategy,method,feature,importance,rank
Logistic Regression,SMOTE,Coefficient,age,0.7231441195024754,1
Logistic Regression,SMOTE,Coefficient,waist_circumference,0.41008588303425686,2
Logistic Regression,SMOTE,Coefficient,race_ethnicity_4.0,0.3034569799021506,3
Logistic Regression,SMOTE,Coefficient,race_ethnicity_6.0,0.30183746489558655,4
Logistic Regression,SMOTE,Coefficient,education_level_2.0,0.27962750861492625,5
Logistic Regression,SMOTE,Coefficient,vigorous_recreational_activity,0.27316478060206756,6
Logistic Regression,SMOTE,Coefficient,hdl_cholesterol_mg_dl,0.27027893791557744,7
Logistic Regression,SMOTE,Coefficient,race_ethnicity_2.0,0.22421486219426265,8
Logistic Regression,SMOTE,Coefficient,total_sugar_g,0.21338147578818456,9
Logistic Regression,SMOTE,Coefficient,education_level_3.0,0.212211997746808,10
Logistic Regression,SMOTE,Coefficient,triglycerides_mg_dl,0.19709540605685516,11
Logistic Regression,SMOTE,Coefficient,education_level_4.0,0.18991035809240844,12
Logistic Regression,SMOTE,Coefficient,moderate_recreational_activity,0.17027784202464544,13
Logistic Regression,SMOTE,Coefficient,bmi,0.15827456304187584,14
Logistic Regression,SMOTE,Coefficient,income_poverty_ratio,0.15494185922130144,15
Logistic Regression,SMOTE,Coefficient,moderate_work_activity,0.15482826845191144,16
Logistic Regression,SMOTE,Coefficient,mean_systolic_bp,0.1510417052493669,17
Logistic Regression,SMOTE,Coefficient,alcohol_info_missing,0.14455951581585935,18
Logistic Regression,SMOTE,Coefficient,total_cholesterol_mg_dl,0.14384698500819249,19
Logistic Regression,SMOTE,Coefficient,walk_or_bicycle_transport,0.13735589712926982,20
Logistic Regression,SMOTE,Coefficient,race_ethnicity_3.0,0.11477083285995911,21
Logistic Regression,SMOTE,Coefficient,education_level_5.0,0.10483116000433405,22
Logistic Regression,SMOTE,Coefficient,fiber_g,0.10454847758095481,23
Logistic Regression,SMOTE,Coefficient,sex_2.0,0.08674873373656264,24
Logistic Regression,SMOTE,Coefficient,ldl_cholesterol_mg_dl,0.08382372478403179,25
Logistic Regression,SMOTE,Coefficient,mean_diastolic_bp,0.07572301559649702,26
Logistic Regression,SMOTE,Coefficient,total_fat_g,0.07420870038183648,27
Logistic Regression,SMOTE,Coefficient,race_ethnicity_7.0,0.0741330991022197,28
Logistic Regression,SMOTE,Coefficient,vigorous_work_activity,0.06892704253734312,29
Logistic Regression,SMOTE,Coefficient,average_alcoholic_drinks_per_day,0.06618525868661589,30
Logistic Regression,SMOTE,Coefficient,carbohydrate_g,0.06596519820315608,31
Logistic Regression,SMOTE,Coefficient,ever_smoked_100_cigarettes,0.06001470492036651,32
Logistic Regression,SMOTE,Coefficient,energy_kcal,0.05107781191367417,33
Logistic Regression,SMOTE,Coefficient,cholesterol_mg,0.036241361434466636,34
Logistic Regression,SMOTE,Coefficient,protein_g,0.02301045106413992,35
Logistic Regression,SMOTE,Coefficient,sleep_hours,0.007418882395606987,36
