model,strategy,method,feature,importance,rank
Logistic Regression,SMOTE,SHAP,age,1.0,1
Logistic Regression,SMOTE,SHAP,waist_circumference,0.4952242817356881,2
Logistic Regression,SMOTE,SHAP,hdl_cholesterol_mg_dl,0.31250053593240845,3
Logistic Regression,SMOTE,SHAP,total_sugar_g,0.22668679099436403,4
Logistic Regression,SMOTE,SHAP,income_poverty_ratio,0.20460414582510003,5
Logistic Regression,SMOTE,SHAP,bmi,0.18439847091973366,6
Logistic Regression,SMOTE,SHAP,race_ethnicity_4.0,0.17448987344300038,7
Logistic Regression,SMOTE,SHAP,mean_systolic_bp,0.1740171883467681,8
Logistic Regression,SMOTE,SHAP,total_cholesterol_mg_dl,0.17061878814495193,9
Logistic Regression,SMOTE,SHAP,average_alcoholic_drinks_per_day,0.1650194087857386,10
Logistic Regression,SMOTE,SHAP,vigorous_recreational_activity,0.15659515656903947,11
Logistic Regression,SMOTE,SHAP,education_level_3.0,0.14373540942943533,12
Logistic Regression,SMOTE,SHAP,triglycerides_mg_dl,0.1405477862524755,13
Logistic Regression,SMOTE,SHAP,moderate_recreational_activity,0.1319694742785483,14
Logistic Regression,SMOTE,SHAP,education_level_4.0,0.12050786903426798,15
Logistic Regression,SMOTE,SHAP,moderate_work_activity,0.11385021246997218,16
Logistic Regression,SMOTE,SHAP,fiber_g,0.11307845155889037,17
Logistic Regression,SMOTE,SHAP,race_ethnicity_6.0,0.11215888361395868,18
Logistic Regression,SMOTE,SHAP,alcohol_info_missing,0.10926871500870917,19
Logistic Regression,SMOTE,SHAP,education_level_2.0,0.10147401007920281,20
Logistic Regression,SMOTE,SHAP,mean_diastolic_bp,0.08927342504784813,21
Logistic Regression,SMOTE,SHAP,walk_or_bicycle_transport,0.08628465408325048,22
Logistic Regression,SMOTE,SHAP,race_ethnicity_3.0,0.08376725816890036,23
Logistic Regression,SMOTE,SHAP,total_fat_g,0.0817689575706797,24
Logistic Regression,SMOTE,SHAP,ldl_cholesterol_mg_dl,0.07927613812400786,25
Logistic Regression,SMOTE,SHAP,carbohydrate_g,0.07215236771594406,26
Logistic Regression,SMOTE,SHAP,sex_2.0,0.0693439097266373,27
Logistic Regression,SMOTE,SHAP,race_ethnicity_2.0,0.06407386016824283,28
Logistic Regression,SMOTE,SHAP,education_level_5.0,0.05790919366607467,29
Logistic Regression,SMOTE,SHAP,energy_kcal,0.055909656476052394,30
Logistic Regression,SMOTE,SHAP,ever_smoked_100_cigarettes,0.047305295143200955,31
Logistic Regression,SMOTE,SHAP,cholesterol_mg,0.039876241002617226,32
Logistic Regression,SMOTE,SHAP,vigorous_work_activity,0.03444064945737122,33
Logistic Regression,SMOTE,SHAP,protein_g,0.024738335682092584,34
Logistic Regression,SMOTE,SHAP,sleep_hours,0.009076290085650106,35
Logistic Regression,SMOTE,SHAP,race_ethnicity_7.0,0.0075888811215462275,36
