model,strategy,method,feature,importance,rank
Logistic Regression,Undersampling,Coefficient,age,1.0,1
Logistic Regression,Undersampling,Coefficient,race_ethnicity_3.0,0.8432188538456923,2
Logistic Regression,Undersampling,Coefficient,waist_circumference,0.5969312248440658,3
Logistic Regression,Undersampling,Coefficient,vigorous_recreational_activity,0.4561131887331223,4
Logistic Regression,Undersampling,Coefficient,race_ethnicity_6.0,0.36731994737288987,5
Logistic Regression,Undersampling,Coefficient,energy_kcal,0.33505865591525885,6
Logistic Regression,Undersampling,Coefficient,education_level_5.0,0.31351350731898686,7
Logistic Regression,Undersampling,Coefficient,hdl_cholesterol_mg_dl,0.29868273697923026,8
Logistic Regression,Undersampling,Coefficient,triglycerides_mg_dl,0.2887530504823862,9
Logistic Regression,Undersampling,Coefficient,total_fat_g,0.26580454161187483,10
Logistic Regression,Undersampling,Coefficient,total_sugar_g,0.24795017503743383,11
Logistic Regression,Undersampling,Coefficient,fiber_g,0.21167816770113174,12
Logistic Regression,Undersampling,Coefficient,bmi,0.18639469124652777,13
Logistic Regression,Undersampling,Coefficient,mean_systolic_bp,0.18249540472454043,14
Logistic Regression,Undersampling,Coefficient,education_level_4.0,0.1536561270410064,15
Logistic Regression,Undersampling,Coefficient,education_level_3.0,0.149686050141218,16
Logistic Regression,Undersampling,Coefficient,total_cholesterol_mg_dl,0.12671122462765833,17
Logistic Regression,Undersampling,Coefficient,ldl_cholesterol_mg_dl,0.12395045709838291,18
Logistic Regression,Undersampling,Coefficient,race_ethnicity_7.0,0.11599537407021512,19
Logistic Regression,Undersampling,Coefficient,income_poverty_ratio,0.1024296294189442,20
Logistic Regression,Undersampling,Coefficient,walk_or_bicycle_transport,0.10149372989950942,21
Logistic Regression,Undersampling,Coefficient,race_ethnicity_4.0,0.07999203012408396,22
Logistic Regression,Undersampling,Coefficient,cholesterol_mg,0.07657597215340144,23
Logistic Regression,Undersampling,Coefficient,ever_smoked_100_cigarettes,0.07591097961208527,24
Logistic Regression,Undersampling,Coefficient,mean_diastolic_bp,0.07468316486579238,25
Logistic Regression,Undersampling,Coefficient,education_level_2.0,0.06992075104006468,26
Logistic Regression,Undersampling,Coefficient,sex_2.0,0.06095292485010997,27
Logistic Regression,Undersampling,Coefficient,moderate_recreational_activity,0.05630882268091508,28
Logistic Regression,Undersampling,Coefficient,race_ethnicity_2.0,0.05047759891203211,29
Logistic Regression,Undersampling,Coefficient,moderate_work_activity,0.03475194505163628,30
Logistic Regression,Undersampling,Coefficient,alcohol_info_missing,0.03242045452178876,31
Logistic Regression,Undersampling,Coefficient,protein_g,0.02424598128140548,32
Logistic Regression,Undersampling,Coefficient,average_alcoholic_drinks_per_day,0.019457390265536407,33
Logistic Regression,Undersampling,Coefficient,sleep_hours,0.017468661122658713,34
Logistic Regression,Undersampling,Coefficient,carbohydrate_g,0.013746589866872121,35
Logistic Regression,Undersampling,Coefficient,vigorous_work_activity,0.010740443027610212,36
