model,strategy,method,feature,importance,rank
Logistic Regression,Undersampling,Permutation,age,1.0,1
Logistic Regression,Undersampling,Permutation,waist_circumference,0.307645930133695,2
Logistic Regression,Undersampling,Permutation,race_ethnicity_3.0,0.1473893156281345,3
Logistic Regression,Undersampling,Permutation,energy_kcal,0.12406118220136306,4
Logistic Regression,Undersampling,Permutation,hdl_cholesterol_mg_dl,0.10381674624641345,5
Logistic Regression,Undersampling,Permutation,triglycerides_mg_dl,0.07603795253531924,6
Logistic Regression,Undersampling,Permutation,total_sugar_g,0.05556818656906193,7
Logistic Regression,Undersampling,Permutation,total_fat_g,0.026213129608134374,8
Logistic Regression,Undersampling,Permutation,mean_systolic_bp,0.020302404128590013,9
Logistic Regression,Undersampling,Permutation,vigorous_recreational_activity,0.020064054177604648,10
Logistic Regression,Undersampling,Permutation,race_ethnicity_6.0,0.01904411528495775,11
Logistic Regression,Undersampling,Permutation,bmi,0.015871241040367433,12
Logistic Regression,Undersampling,Permutation,ldl_cholesterol_mg_dl,0.01122063635576709,13
Logistic Regression,Undersampling,Permutation,fiber_g,0.010736477794885244,14
Logistic Regression,Undersampling,Permutation,education_level_5.0,0.01063035547248665,15
Logistic Regression,Undersampling,Permutation,total_cholesterol_mg_dl,0.007395260310140162,16
Logistic Regression,Undersampling,Permutation,income_poverty_ratio,0.00638336891789709,17
Logistic Regression,Undersampling,Permutation,mean_diastolic_bp,0.006113679514119188,18
Logistic Regression,Undersampling,Permutation,education_level_4.0,0.005379852160220528,19
Logistic Regression,Undersampling,Permutation,cholesterol_mg,0.005291983924103781,20
Logistic Regression,Undersampling,Permutation,average_alcoholic_drinks_per_day,0.003918282147850269,21
Logistic Regression,Undersampling,Permutation,protein_g,0.0022387099294181177,22
Logistic Regression,Undersampling,Permutation,education_level_2.0,0.0021712548650575617,23
Logistic Regression,Undersampling,Permutation,alcohol_info_missing,0.0017107808175591025,24
Logistic Regression,Undersampling,Permutation,moderate_work_activity,0.0015102475757884338,25
Logistic Regression,Undersampling,Permutation,carbohydrate_g,0.001067635053577383,26
Logistic Regression,Undersampling,Permutation,moderate_recreational_activity,0.0010304071858553356,27
Logistic Regression,Undersampling,Permutation,race_ethnicity_4.0,0.0010258273075764992,28
Logistic Regression,Undersampling,Permutation,education_level_3.0,0.001021836270791246,29
Logistic Regression,Undersampling,Permutation,ever_smoked_100_cigarettes,0.0010077695017924441,30
Logistic Regression,Undersampling,Permutation,race_ethnicity_2.0,0.0008724013852430634,31
Logistic Regression,Undersampling,Permutation,sleep_hours,0.0008420433349391504,32
Logistic Regression,Undersampling,Permutation,sex_2.0,0.0006298641169743823,33
Logistic Regression,Undersampling,Permutation,race_ethnicity_7.0,0.00037397977486501425,34
Logistic Regression,Undersampling,Permutation,walk_or_bicycle_transport,0.00033949983411020256,35
Logistic Regression,Undersampling,Permutation,vigorous_work_activity,0.0001894106802369537,36
