model,strategy,method,feature,importance,rank
Logistic Regression,Undersampling,SHAP,age,1.0,1
Logistic Regression,Undersampling,SHAP,waist_circumference,0.5212862473646211,2
Logistic Regression,Undersampling,SHAP,race_ethnicity_3.0,0.44504910787751506,3
Logistic Regression,Undersampling,SHAP,energy_kcal,0.2652163172489462,4
Logistic Regression,Undersampling,SHAP,hdl_cholesterol_mg_dl,0.24973162555883732,5
Logistic Regression,Undersampling,SHAP,total_fat_g,0.21179753019942996,6
Logistic Regression,Undersampling,SHAP,total_sugar_g,0.1904841210401844,7
Logistic Regression,Undersampling,SHAP,vigorous_recreational_activity,0.1890824016663037,8
Logistic Regression,Undersampling,SHAP,fiber_g,0.16556291577931784,9
Logistic Regression,Undersampling,SHAP,bmi,0.15703794018046016,10
Logistic Regression,Undersampling,SHAP,mean_systolic_bp,0.15204497076592405,11
Logistic Regression,Undersampling,SHAP,triglycerides_mg_dl,0.14890145709316174,12
Logistic Regression,Undersampling,SHAP,education_level_5.0,0.12523861087110605,13
Logistic Regression,Undersampling,SHAP,total_cholesterol_mg_dl,0.10868410579427802,14
Logistic Regression,Undersampling,SHAP,race_ethnicity_6.0,0.09870289833785528,15
Logistic Regression,Undersampling,SHAP,income_poverty_ratio,0.09781289811423959,16
Logistic Regression,Undersampling,SHAP,ldl_cholesterol_mg_dl,0.08477123730514997,17
Logistic Regression,Undersampling,SHAP,education_level_3.0,0.07331621296754309,18
Logistic Regression,Undersampling,SHAP,education_level_4.0,0.07050850323357054,19
Logistic Regression,Undersampling,SHAP,mean_diastolic_bp,0.06367102904707113,20
Logistic Regression,Undersampling,SHAP,cholesterol_mg,0.060929425910517324,21
Logistic Regression,Undersampling,SHAP,walk_or_bicycle_transport,0.046105243985336775,22
Logistic Regression,Undersampling,SHAP,ever_smoked_100_cigarettes,0.04326946607043189,23
Logistic Regression,Undersampling,SHAP,sex_2.0,0.03523421412474946,24
Logistic Regression,Undersampling,SHAP,average_alcoholic_drinks_per_day,0.03508190797049783,25
Logistic Regression,Undersampling,SHAP,race_ethnicity_4.0,0.03326171777359038,26
Logistic Regression,Undersampling,SHAP,moderate_recreational_activity,0.031558521971722986,27
Logistic Regression,Undersampling,SHAP,protein_g,0.018849939937616904,28
Logistic Regression,Undersampling,SHAP,moderate_work_activity,0.018479387161176714,29
Logistic Regression,Undersampling,SHAP,education_level_2.0,0.018348724226985497,30
Logistic Regression,Undersampling,SHAP,alcohol_info_missing,0.017721199265862946,31
Logistic Regression,Undersampling,SHAP,sleep_hours,0.01545447869062714,32
Logistic Regression,Undersampling,SHAP,carbohydrate_g,0.01087315427410525,33
Logistic Regression,Undersampling,SHAP,race_ethnicity_2.0,0.010431338530343594,34
Logistic Regression,Undersampling,SHAP,race_ethnicity_7.0,0.008586795548136005,35
Logistic Regression,Undersampling,SHAP,vigorous_work_activity,0.003880866849700124,36
