model,strategy,method,feature,importance,rank
Random Forest,SMOTE,SHAP,age,0.10786377793014022,1
Random Forest,SMOTE,SHAP,waist_circumference,0.05669294641606431,2
Random Forest,SMOTE,SHAP,vigorous_recreational_activity,0.03575118898463221,3
Random Forest,SMOTE,SHAP,bmi,0.03282104863847969,4
Random Forest,SMOTE,SHAP,total_cholesterol_mg_dl,0.03101081674983449,5
Random Forest,SMOTE,SHAP,hdl_cholesterol_mg_dl,0.03055569724215206,6
Random Forest,SMOTE,SHAP,mean_systolic_bp,0.02641109508788741,7
Random Forest,SMOTE,SHAP,moderate_recreational_activity,0.0241840349425247,8
Random Forest,SMOTE,SHAP,total_sugar_g,0.02158883229957682,9
Random Forest,SMOTE,SHAP,moderate_work_activity,0.021553137521195538,10
Random Forest,SMOTE,Permutation,age,0.04999999999999993,1
Random Forest,SMOTE,Permutation,waist_circumference,0.025,2
Random Forest,SMOTE,Permutation,bmi,0.014000000000000012,3
Random Forest,SMOTE,Permutation,total_cholesterol_mg_dl,0.01100000000000001,4
Random Forest,SMOTE,Permutation,race_ethnicity_3.0,0.01100000000000001,5
Random Forest,SMOTE,Permutation,income_poverty_ratio,0.009000000000000008,6
Random Forest,SMOTE,Permutation,mean_diastolic_bp,0.007000000000000006,7
Random Forest,SMOTE,Permutation,ever_smoked_100_cigarettes,0.007000000000000006,8
Random Forest,SMOTE,Permutation,protein_g,0.006000000000000005,9
Random Forest,SMOTE,Permutation,triglycerides_mg_dl,0.006000000000000005,10
Random Forest,SMOTE,Built-in,age,0.17615855250209647,1
Random Forest,SMOTE,Built-in,waist_circumference,0.08822201618906396,2
Random Forest,SMOTE,Built-in,vigorous_recreational_activity,0.0573067303049774,3
Random Forest,SMOTE,Built-in,moderate_recreational_activity,0.05290274164526612,4
Random Forest,SMOTE,Built-in,bmi,0.05236722097884546,5
Random Forest,SMOTE,Built-in,moderate_work_activity,0.04894565031923527,6
Random Forest,SMOTE,Built-in,total_cholesterol_mg_dl,0.0419951536138853,7
Random Forest,SMOTE,Built-in,hdl_cholesterol_mg_dl,0.04060811769242969,8
Random Forest,SMOTE,Built-in,mean_systolic_bp,0.037752943528480715,9
Random Forest,SMOTE,Built-in,income_poverty_ratio,0.03289113927944955,10
