model,strategy,method,feature,importance,rank
Random Forest,SMOTE,SHAP,age,0.11659667082195377,1
Random Forest,SMOTE,SHAP,waist_circumference,0.05942715963975242,2
Random Forest,SMOTE,SHAP,bmi,0.04293763546314795,3
Random Forest,SMOTE,SHAP,mean_systolic_bp,0.032246428400978765,4
Random Forest,SMOTE,SHAP,hdl_cholesterol_mg_dl,0.03107171537917911,5
Random Forest,SMOTE,SHAP,total_cholesterol_mg_dl,0.029942548369847204,6
Random Forest,SMOTE,SHAP,race_ethnicity_3.0,0.02195653789390772,7
Random Forest,SMOTE,SHAP,total_sugar_g,0.02082586272991454,8
Random Forest,SMOTE,SHAP,vigorous_recreational_activity,0.019966085127688975,9
Random Forest,SMOTE,SHAP,triglycerides_mg_dl,0.01726826174521214,10
Random Forest,SMOTE,Permutation,age,0.07100000000000006,1
Random Forest,SMOTE,Permutation,bmi,0.029000000000000026,2
Random Forest,SMOTE,Permutation,total_sugar_g,0.029000000000000026,3
Random Forest,SMOTE,Permutation,race_ethnicity_3.0,0.026000000000000023,4
Random Forest,SMOTE,Permutation,mean_systolic_bp,0.016000000000000014,5
Random Forest,SMOTE,Permutation,hdl_cholesterol_mg_dl,0.015000000000000013,6
Random Forest,SMOTE,Permutation,total_cholesterol_mg_dl,0.014000000000000012,7
Random Forest,SMOTE,Permutation,waist_circumference,0.013000000000000012,8
Random Forest,SMOTE,Permutation,mean_diastolic_bp,0.01100000000000001,9
Random Forest,SMOTE,Permutation,energy_kcal,0.010000000000000009,10
Random Forest,SMOTE,Built-in,age,0.23618458026249792,1
Random Forest,SMOTE,Built-in,waist_circumference,0.12130395044448865,2
Random Forest,SMOTE,Built-in,bmi,0.07780687936126127,3
Random Forest,SMOTE,Built-in,total_cholesterol_mg_dl,0.059687397165729676,4
Random Forest,SMOTE,Built-in,mean_systolic_bp,0.05542704335782388,5
Random Forest,SMOTE,Built-in,hdl_cholesterol_mg_dl,0.050831497912617964,6
Random Forest,SMOTE,Built-in,total_sugar_g,0.03861437393829927,7
Random Forest,SMOTE,Built-in,income_poverty_ratio,0.02984859894557309,8
Random Forest,SMOTE,Built-in,mean_diastolic_bp,0.027989256584691088,9
Random Forest,SMOTE,Built-in,vigorous_recreational_activity,0.026431412027626337,10
