Model,Strategy,Method,Rank,Feature,Importance
Logistic Regression,SMOTE,SHAP,1,age,0.6346686398950151
Logistic Regression,SMOTE,SHAP,2,waist_circumference,0.3038710471144345
Logistic Regression,SMOTE,SHAP,3,hdl_cholesterol_mg_dl,0.19714185855582278
Logistic Regression,SMOTE,SHAP,4,total_sugar_g,0.1364750342850517
Logistic Regression,SMOTE,SHAP,5,income_poverty_ratio,0.1293548299923459
Logistic Regression,SMOTE,SHAP,6,bmi,0.11679799492671797
Logistic Regression,SMOTE,SHAP,7,mean_systolic_bp,0.10785348015035906
Logistic Regression,SMOTE,SHAP,8,vigorous_recreational_activity,0.10332621108150586
Logistic Regression,SMOTE,SHAP,9,total_cholesterol_mg_dl,0.10260274563908091
Logistic Regression,SMOTE,SHAP,10,race_ethnicity_4.0,0.09870043136452719
Logistic Regression,SMOTE,SHAP,11,alcohol_info_missing,0.09367280975768491
Logistic Regression,SMOTE,SHAP,12,triglycerides_mg_dl,0.08627698219710984
Logistic Regression,SMOTE,SHAP,13,moderate_recreational_activity,0.08276958860491082
Logistic Regression,SMOTE,SHAP,14,average_alcoholic_drinks_per_day,0.08115583563084723
Logistic Regression,SMOTE,SHAP,15,education_level_3.0,0.07698080524230827
Logistic Regression,SMOTE,SHAP,16,moderate_work_activity,0.07371701587443277
Logistic Regression,SMOTE,SHAP,17,race_ethnicity_6.0,0.0693197017944543
Logistic Regression,SMOTE,SHAP,18,fiber_g,0.06847470925339652
Logistic Regression,SMOTE,SHAP,19,education_level_4.0,0.06812384236749054
Logistic Regression,SMOTE,SHAP,20,race_ethnicity_3.0,0.06235844254169423
Logistic Regression,SMOTE,SHAP,21,mean_diastolic_bp,0.05865837846123948
Logistic Regression,SMOTE,SHAP,22,education_level_2.0,0.05804784529840059
Logistic Regression,SMOTE,SHAP,23,total_fat_g,0.05631296384368379
Logistic Regression,SMOTE,SHAP,24,walk_or_bicycle_transport,0.05325699551534469
Logistic Regression,SMOTE,SHAP,25,ldl_cholesterol_mg_dl,0.049985830278517246
Logistic Regression,SMOTE,SHAP,26,sex_2.0,0.045591713107168995
Logistic Regression,SMOTE,SHAP,27,carbohydrate_g,0.04547425070052416
Logistic Regression,SMOTE,SHAP,28,energy_kcal,0.042832830336057406
Logistic Regression,SMOTE,SHAP,29,ever_smoked_100_cigarettes,0.037043182929802417
Logistic Regression,SMOTE,SHAP,30,race_ethnicity_2.0,0.03637700284864173
Logistic Regression,SMOTE,SHAP,31,education_level_5.0,0.028592500567062813
Logistic Regression,SMOTE,SHAP,32,cholesterol_mg,0.024882741593304596
Logistic Regression,SMOTE,SHAP,33,vigorous_work_activity,0.020211335786878566
Logistic Regression,SMOTE,SHAP,34,protein_g,0.016243401075744086
Logistic Regression,SMOTE,SHAP,35,sleep_hours,0.005020051123111905
Logistic Regression,SMOTE,SHAP,36,race_ethnicity_7.0,0.004684449808555993
Logistic Regression,SMOTE,Permutation,1,age,0.11772940422267805
Logistic Regression,SMOTE,Permutation,2,waist_circumference,0.029147286859126802
Logistic Regression,SMOTE,Permutation,3,hdl_cholesterol_mg_dl,0.017401506326969185
Logistic Regression,SMOTE,Permutation,4,triglycerides_mg_dl,0.008394632660223483
Logistic Regression,SMOTE,Permutation,5,total_sugar_g,0.00729899267642411
Logistic Regression,SMOTE,Permutation,6,mean_systolic_bp,0.0039648370841055495
Logistic Regression,SMOTE,Permutation,7,race_ethnicity_6.0,0.003772503305529434
Logistic Regression,SMOTE,Permutation,8,race_ethnicity_3.0,0.0030570173046093664
Logistic Regression,SMOTE,Permutation,9,income_poverty_ratio,0.0029141156121879563
Logistic Regression,SMOTE,Permutation,10,average_alcoholic_drinks_per_day,0.002676090945383891
Logistic Regression,SMOTE,Permutation,11,race_ethnicity_4.0,0.0025159556057386344
Logistic Regression,SMOTE,Permutation,12,bmi,0.002216092557719496
Logistic Regression,SMOTE,Permutation,13,total_cholesterol_mg_dl,0.001949188256597012
Logistic Regression,SMOTE,Permutation,14,fiber_g,0.0013656337903066474
Logistic Regression,SMOTE,Permutation,15,energy_kcal,0.001325699519533713
Logistic Regression,SMOTE,Permutation,16,education_level_3.0,0.0012479429445593937
Logistic Regression,SMOTE,Permutation,17,vigorous_recreational_activity,0.001195276532455103
Logistic Regression,SMOTE,Permutation,18,carbohydrate_g,0.0010587710816503727
Logistic Regression,SMOTE,Permutation,19,moderate_work_activity,0.0010129957147595626
Logistic Regression,SMOTE,Permutation,20,ldl_cholesterol_mg_dl,0.0009689461262671617
Logistic Regression,SMOTE,Permutation,21,mean_diastolic_bp,0.0007684058490130374
Logistic Regression,SMOTE,Permutation,22,education_level_4.0,0.0004706185624242465
Logistic Regression,SMOTE,Permutation,23,cholesterol_mg,0.00031730185770999507
Logistic Regression,SMOTE,Permutation,24,ever_smoked_100_cigarettes,0.00021884801033444923
Logistic Regression,SMOTE,Permutation,25,race_ethnicity_7.0,0.00015052890883984204
Logistic Regression,SMOTE,Permutation,26,vigorous_work_activity,0.00012003211154664184
Logistic Regression,SMOTE,Permutation,27,total_fat_g,0.00011992349612295894
Logistic Regression,SMOTE,Permutation,28,race_ethnicity_2.0,0.0001184511537130506
Logistic Regression,SMOTE,Permutation,29,education_level_5.0,7.062416215271594e-05
Logistic Regression,SMOTE,Permutation,30,education_level_2.0,-1.8416348503852432e-05
Logistic Regression,SMOTE,Permutation,31,sleep_hours,-5.085615504292762e-05
Logistic Regression,SMOTE,Permutation,32,protein_g,-0.00015503041473222123
Logistic Regression,SMOTE,Permutation,33,sex_2.0,-0.00035887742821843485
Logistic Regression,SMOTE,Permutation,34,moderate_recreational_activity,-0.00048134735260758064
Logistic Regression,SMOTE,Permutation,35,walk_or_bicycle_transport,-0.000510094234741515
Logistic Regression,SMOTE,Permutation,36,alcohol_info_missing,-0.0008402006440652643
Logistic Regression,SMOTE,Coefficient,1,age,0.7343553816242856
Logistic Regression,SMOTE,Coefficient,2,waist_circumference,0.40262115855704683
Logistic Regression,SMOTE,Coefficient,3,race_ethnicity_6.0,0.2984905154058571
Logistic Regression,SMOTE,Coefficient,4,vigorous_recreational_activity,0.28839735099009617
Logistic Regression,SMOTE,Coefficient,5,race_ethnicity_4.0,0.2746504644164633
Logistic Regression,SMOTE,Coefficient,6,hdl_cholesterol_mg_dl,0.27281903415886016
Logistic Regression,SMOTE,Coefficient,7,education_level_2.0,0.2559443559546676
Logistic Regression,SMOTE,Coefficient,8,total_sugar_g,0.2055502907050532
Logistic Regression,SMOTE,Coefficient,9,race_ethnicity_2.0,0.20367832039592582
Logistic Regression,SMOTE,Coefficient,10,alcohol_info_missing,0.19828907176685392
Logistic Regression,SMOTE,Coefficient,11,triglycerides_mg_dl,0.19358951043826775
Logistic Regression,SMOTE,Coefficient,12,education_level_3.0,0.18185405791375742
Logistic Regression,SMOTE,Coefficient,13,education_level_4.0,0.17177769252373198
Logistic Regression,SMOTE,Coefficient,14,moderate_recreational_activity,0.17087944742407843
Logistic Regression,SMOTE,Coefficient,15,bmi,0.16040709673109058
Logistic Regression,SMOTE,Coefficient,16,moderate_work_activity,0.1604052361771163
Logistic Regression,SMOTE,Coefficient,17,income_poverty_ratio,0.15673694097876392
Logistic Regression,SMOTE,Coefficient,18,mean_systolic_bp,0.14978670916847076
Logistic Regression,SMOTE,Coefficient,19,total_cholesterol_mg_dl,0.13840993880877217
Logistic Regression,SMOTE,Coefficient,20,race_ethnicity_3.0,0.1367057795600125
Logistic Regression,SMOTE,Coefficient,21,walk_or_bicycle_transport,0.13565156013718468
Logistic Regression,SMOTE,Coefficient,22,average_alcoholic_drinks_per_day,0.11498920687473485
Logistic Regression,SMOTE,Coefficient,23,fiber_g,0.10129836611476545
Logistic Regression,SMOTE,Coefficient,24,sex_2.0,0.09125887577515282
Logistic Regression,SMOTE,Coefficient,25,ldl_cholesterol_mg_dl,0.08456794223178918
Logistic Regression,SMOTE,Coefficient,26,education_level_5.0,0.08281888808715641
Logistic Regression,SMOTE,Coefficient,27,total_fat_g,0.08177284986229265
Logistic Regression,SMOTE,Coefficient,28,mean_diastolic_bp,0.07961046130972181
Logistic Regression,SMOTE,Coefficient,29,ever_smoked_100_cigarettes,0.07519528303101007
Logistic Regression,SMOTE,Coefficient,30,race_ethnicity_7.0,0.0732196046710672
Logistic Regression,SMOTE,Coefficient,31,carbohydrate_g,0.06652183482166146
Logistic Regression,SMOTE,Coefficient,32,vigorous_work_activity,0.06472137166297035
Logistic Regression,SMOTE,Coefficient,33,energy_kcal,0.06261186166243567
Logistic Regression,SMOTE,Coefficient,34,cholesterol_mg,0.036184527389090684
Logistic Regression,SMOTE,Coefficient,35,protein_g,0.02417497340483988
Logistic Regression,SMOTE,Coefficient,36,sleep_hours,0.0065655731163387415
