Model,Strategy,Method,Rank,Feature,Importance
Logistic Regression,Undersampling,SHAP,1,age,0.7538022073322916
Logistic Regression,Undersampling,SHAP,2,waist_circumference,0.3928282433365747
Logistic Regression,Undersampling,SHAP,3,race_ethnicity_3.0,0.3357005303875549
Logistic Regression,Undersampling,SHAP,4,energy_kcal,0.20055686006250423
Logistic Regression,Undersampling,SHAP,5,hdl_cholesterol_mg_dl,0.18818064646000374
Logistic Regression,Undersampling,SHAP,6,total_fat_g,0.15996581086846656
Logistic Regression,Undersampling,SHAP,7,total_sugar_g,0.14351490996671065
Logistic Regression,Undersampling,SHAP,8,vigorous_recreational_activity,0.14263697422897845
Logistic Regression,Undersampling,SHAP,9,fiber_g,0.12475466780861348
Logistic Regression,Undersampling,SHAP,10,bmi,0.11841778303969458
Logistic Regression,Undersampling,SHAP,11,mean_systolic_bp,0.11460778607190958
Logistic Regression,Undersampling,SHAP,12,triglycerides_mg_dl,0.1122178551109476
Logistic Regression,Undersampling,SHAP,13,education_level_5.0,0.09476518585094941
Logistic Regression,Undersampling,SHAP,14,total_cholesterol_mg_dl,0.08193415783079487
Logistic Regression,Undersampling,SHAP,15,race_ethnicity_6.0,0.07425718506753971
Logistic Regression,Undersampling,SHAP,16,income_poverty_ratio,0.07360932917270072
Logistic Regression,Undersampling,SHAP,17,ldl_cholesterol_mg_dl,0.06389791355828182
Logistic Regression,Undersampling,SHAP,18,education_level_3.0,0.055719029190334946
Logistic Regression,Undersampling,SHAP,19,education_level_4.0,0.05355325912027918
Logistic Regression,Undersampling,SHAP,20,mean_diastolic_bp,0.04801614543469211
Logistic Regression,Undersampling,SHAP,21,cholesterol_mg,0.045864665038263135
Logistic Regression,Undersampling,SHAP,22,walk_or_bicycle_transport,0.034858685517458306
Logistic Regression,Undersampling,SHAP,23,ever_smoked_100_cigarettes,0.032338878802098944
Logistic Regression,Undersampling,SHAP,24,sex_2.0,0.026761442576405572
Logistic Regression,Undersampling,SHAP,25,average_alcoholic_drinks_per_day,0.025669296443819288
Logistic Regression,Undersampling,SHAP,26,race_ethnicity_4.0,0.024883255538109036
