Model,Strategy,Method,Rank,Feature,Importance
Random Forest,Undersampling,SHAP,1,age,0.11581509279694252
Random Forest,Undersampling,SHAP,2,waist_circumference,0.055831122072618526
Random Forest,Undersampling,SHAP,3,bmi,0.03803285978673514
Random Forest,Undersampling,SHAP,4,mean_systolic_bp,0.03490223427649091
Random Forest,Undersampling,SHAP,5,hdl_cholesterol_mg_dl,0.031664953996659785
Random Forest,Undersampling,SHAP,6,total_cholesterol_mg_dl,0.029490686169592314
Random Forest,Undersampling,SHAP,7,race_ethnicity_3.0,0.021558762744286534
Random Forest,Undersampling,SHAP,8,vigorous_recreational_activity,0.020915079518752624
Random Forest,Undersampling,SHAP,9,total_sugar_g,0.01992208487976835
Random Forest,Undersampling,SHAP,10,triglycerides_mg_dl,0.018905222970397775
Random Forest,Undersampling,SHAP,11,average_alcoholic_drinks_per_day,0.01349503766063921
Random Forest,Undersampling,SHAP,12,ldl_cholesterol_mg_dl,0.012045255413123663
Random Forest,Undersampling,SHAP,13,income_poverty_ratio,0.010690905476280113
Random Forest,Undersampling,SHAP,14,carbohydrate_g,0.008227343996731359
Random Forest,Undersampling,SHAP,15,alcohol_info_missing,0.007987936074723154
Random Forest,Undersampling,SHAP,16,fiber_g,0.0074186432826850125
Random Forest,Undersampling,SHAP,17,mean_diastolic_bp,0.007057580313415805
Random Forest,Undersampling,SHAP,18,energy_kcal,0.006319749276759307
Random Forest,Undersampling,SHAP,19,moderate_recreational_activity,0.005402308625057198
Random Forest,Undersampling,SHAP,20,sleep_hours,0.005219414256551136
Random Forest,Undersampling,SHAP,21,education_level_5.0,0.003999666925353192
Random Forest,Undersampling,SHAP,22,cholesterol_mg,0.0031885486292108876
Random Forest,Undersampling,SHAP,23,total_fat_g,0.003069891239349669
Random Forest,Undersampling,SHAP,24,race_ethnicity_4.0,0.0028170838783100017
Random Forest,Undersampling,SHAP,25,protein_g,0.002756994013760427
Random Forest,Undersampling,SHAP,26,moderate_work_activity,0.0024842212424607438
Random Forest,Undersampling,SHAP,27,race_ethnicity_6.0,0.0019152139371759296
Random Forest,Undersampling,SHAP,28,sex_2.0,0.0018979224346945785
Random Forest,Undersampling,SHAP,29,walk_or_bicycle_transport,0.0017323272480014842
