Model,Strategy,Method,Rank,Feature,Importance
XGBoost,SMOTE,SHAP,1,age,0.8433776497840881
XGBoost,SMOTE,SHAP,2,waist_circumference,0.38466838002204895
XGBoost,SMOTE,SHAP,3,average_alcoholic_drinks_per_day,0.3667336106300354
XGBoost,SMOTE,SHAP,4,race_ethnicity_4.0,0.33290261030197144
XGBoost,SMOTE,SHAP,5,alcohol_info_missing,0.2400093674659729
XGBoost,SMOTE,SHAP,6,total_sugar_g,0.227600559592247
XGBoost,SMOTE,SHAP,7,total_cholesterol_mg_dl,0.21501165628433228
XGBoost,SMOTE,SHAP,8,hdl_cholesterol_mg_dl,0.20744504034519196
XGBoost,SMOTE,SHAP,9,sleep_hours,0.2023744285106659
XGBoost,SMOTE,SHAP,10,triglycerides_mg_dl,0.1996171921491623
XGBoost,SMOTE,SHAP,11,mean_systolic_bp,0.1991308480501175
XGBoost,SMOTE,SHAP,12,race_ethnicity_6.0,0.19052673876285553
XGBoost,SMOTE,SHAP,13,income_poverty_ratio,0.1672951877117157
XGBoost,SMOTE,SHAP,14,bmi,0.15169648826122284
XGBoost,SMOTE,SHAP,15,mean_diastolic_bp,0.14743806421756744
XGBoost,SMOTE,SHAP,16,moderate_recreational_activity,0.1415155529975891
XGBoost,SMOTE,SHAP,17,education_level_2.0,0.1365000158548355
XGBoost,SMOTE,SHAP,18,race_ethnicity_3.0,0.13012312352657318
XGBoost,SMOTE,SHAP,19,vigorous_recreational_activity,0.13011698424816132
XGBoost,SMOTE,SHAP,20,education_level_4.0,0.12302867323160172
XGBoost,SMOTE,SHAP,21,moderate_work_activity,0.12265770137310028
XGBoost,SMOTE,SHAP,22,ever_smoked_100_cigarettes,0.11971735209226608
XGBoost,SMOTE,SHAP,23,fiber_g,0.11447440087795258
XGBoost,SMOTE,SHAP,24,education_level_3.0,0.10795916616916656
XGBoost,SMOTE,SHAP,25,walk_or_bicycle_transport,0.10504825413227081
XGBoost,SMOTE,SHAP,26,race_ethnicity_2.0,0.10065184533596039
XGBoost,SMOTE,SHAP,27,ldl_cholesterol_mg_dl,0.07588914036750793
XGBoost,SMOTE,SHAP,28,total_fat_g,0.06714320927858353
XGBoost,SMOTE,SHAP,29,education_level_5.0,0.0652419924736023
XGBoost,SMOTE,SHAP,30,vigorous_work_activity,0.053152211010456085
