Model,Strategy,Method,Rank,Feature,Importance
XGBoost,Undersampling,SHAP,1,age,0.7892599105834961
XGBoost,Undersampling,SHAP,2,waist_circumference,0.3520129919052124
XGBoost,Undersampling,SHAP,3,race_ethnicity_3.0,0.22114859521389008
XGBoost,Undersampling,SHAP,4,total_cholesterol_mg_dl,0.20236115157604218
XGBoost,Undersampling,SHAP,5,hdl_cholesterol_mg_dl,0.19271108508110046
XGBoost,Undersampling,SHAP,6,bmi,0.16519659757614136
XGBoost,Undersampling,SHAP,7,total_sugar_g,0.14772632718086243
XGBoost,Undersampling,SHAP,8,mean_systolic_bp,0.14460872113704681
XGBoost,Undersampling,SHAP,9,triglycerides_mg_dl,0.12864534556865692
XGBoost,Undersampling,SHAP,10,vigorous_recreational_activity,0.0839642807841301
XGBoost,Undersampling,SHAP,11,income_poverty_ratio,0.08376827090978622
XGBoost,Undersampling,SHAP,12,average_alcoholic_drinks_per_day,0.07136005908250809
XGBoost,Undersampling,SHAP,13,fiber_g,0.06883708387613297
XGBoost,Undersampling,SHAP,14,mean_diastolic_bp,0.0542672723531723
XGBoost,Undersampling,SHAP,15,ldl_cholesterol_mg_dl,0.05310703441500664
XGBoost,Undersampling,SHAP,16,sleep_hours,0.03876563161611557
XGBoost,Undersampling,SHAP,17,carbohydrate_g,0.03128095343708992
XGBoost,Undersampling,SHAP,18,total_fat_g,0.023659100756049156
XGBoost,Undersampling,SHAP,19,cholesterol_mg,0.023040253669023514
XGBoost,Undersampling,SHAP,20,protein_g,0.016887864097952843
XGBoost,Undersampling,SHAP,21,energy_kcal,0.013628511689603329
XGBoost,Undersampling,SHAP,22,moderate_recreational_activity,0.012570896185934544
XGBoost,Undersampling,SHAP,23,education_level_5.0,0.012284212745726109
XGBoost,Undersampling,SHAP,24,race_ethnicity_6.0,0.011892501264810562
XGBoost,Undersampling,SHAP,25,education_level_2.0,0.010782149620354176
XGBoost,Undersampling,SHAP,26,moderate_work_activity,0.006237855181097984
XGBoost,Undersampling,SHAP,27,walk_or_bicycle_transport,0.006023540161550045
XGBoost,Undersampling,SHAP,28,race_ethnicity_4.0,0.005902285221964121
XGBoost,Undersampling,SHAP,29,sex_2.0,0.004369232337921858
XGBoost,Undersampling,SHAP,30,alcohol_info_missing,0.004010035190731287
XGBoost,Undersampling,SHAP,31,ever_smoked_100_cigarettes,0.0025384805630892515
XGBoost,Undersampling,SHAP,32,education_level_3.0,0.002252002013847232
XGBoost,Undersampling,SHAP,33,vigorous_work_activity,0.002210430335253477
XGBoost,Undersampling,SHAP,34,education_level_4.0,0.002083954866975546
XGBoost,Undersampling,SHAP,35,race_ethnicity_7.0,0.0010459390468895435
XGBoost,Undersampling,SHAP,36,race_ethnicity_2.0,0.0009005580213852227
XGBoost,Undersampling,Permutation,1,age,0.1414963476253531
XGBoost,Undersampling,Permutation,2,waist_circumference,0.028215897532692047
XGBoost,Undersampling,Permutation,3,total_cholesterol_mg_dl,0.01748109126157541
XGBoost,Undersampling,Permutation,4,race_ethnicity_3.0,0.015811304114014307
XGBoost,Undersampling,Permutation,5,hdl_cholesterol_mg_dl,0.01190634429930743
XGBoost,Undersampling,Permutation,6,total_sugar_g,0.010156966182949912
XGBoost,Undersampling,Permutation,7,triglycerides_mg_dl,0.007220397349011282
XGBoost,Undersampling,Permutation,8,bmi,0.003457464269146132
XGBoost,Undersampling,Permutation,9,mean_systolic_bp,0.003318852885960116
XGBoost,Undersampling,Permutation,10,mean_diastolic_bp,0.0024949626580173523
XGBoost,Undersampling,Permutation,11,average_alcoholic_drinks_per_day,0.002487413886071571
XGBoost,Undersampling,Permutation,12,income_poverty_ratio,0.002303389187407012
XGBoost,Undersampling,Permutation,13,vigorous_recreational_activity,0.0018197126373804052
XGBoost,Undersampling,Permutation,14,ldl_cholesterol_mg_dl,0.0014652220654405412
