Feature,Model_Count,Models,Mean_Rank,Best_Rank,Worst_Rank,Mean_SHAP
age,4,"Decision Tree, Logistic Regression, Random Forest, XGBoost",1.0,1,1,0.41081
family_history_diabetes,4,"Decision Tree, Logistic Regression, Random Forest, XGBoost",2.0,2,2,0.30602
waist_circumference,4,"Decision Tree, Logistic Regression, Random Forest, XGBoost",3.75,3,5,0.18483
self_rated_health,4,"Decision Tree, Logistic Regression, Random Forest, XGBoost",4.0,3,5,0.17862
hdl_cholesterol_mg_dl,4,"Decision Tree, Logistic Regression, Random Forest, XGBoost",7.0,5,8,0.1231
ever_told_high_cholesterol,4,"Decision Tree, Logistic Regression, Random Forest, XGBoost",8.25,6,10,0.1017
total_cholesterol_mg_dl,3,"Decision Tree, Random Forest, XGBoost",7.33,6,9,0.08785
race_ethnicity_3.0,3,"Decision Tree, Logistic Regression, XGBoost",7.67,6,9,0.15365
total_sugar_g,3,"Decision Tree, Logistic Regression, XGBoost",8.0,6,10,0.12596
bmi,2,"Decision Tree, Random Forest",5.5,4,7,0.03505
ever_told_hypertension,1,Random Forest,3.0,3,3,0.04978
energy_kcal,1,Logistic Regression,5.0,5,5,0.29492
total_fat_g,1,Logistic Regression,9.0,9,9,0.17372
healthcare_visits_past_12_months,1,XGBoost,9.0,9,9,0.17238
mean_systolic_bp,1,Random Forest,10.0,10,10,0.02181
