Model,Strategy,Method,Rank,Feature,Importance
Logistic Regression,SMOTE,SHAP,1,age,0.5346538337342712
Logistic Regression,SMOTE,SHAP,2,self_rated_health,0.33171629057797386
Logistic Regression,SMOTE,SHAP,3,family_history_diabetes,0.3026404749703836
Logistic Regression,SMOTE,SHAP,4,waist_circumference,0.2627700986453499
Logistic Regression,SMOTE,SHAP,5,hdl_cholesterol_mg_dl,0.20600548475587804
Logistic Regression,SMOTE,SHAP,6,total_sugar_g,0.14253908117831052
Logistic Regression,SMOTE,SHAP,7,race_ethnicity_4.0,0.1406882737875585
Logistic Regression,SMOTE,SHAP,8,ever_told_high_cholesterol,0.14053910927010968
Logistic Regression,SMOTE,SHAP,9,ever_told_hypertension,0.12974296747034886
Logistic Regression,SMOTE,SHAP,10,total_cholesterol_mg_dl,0.09655822296671479
Logistic Regression,SMOTE,SHAP,11,bmi,0.09482596940061153
Logistic Regression,SMOTE,SHAP,12,race_ethnicity_6.0,0.09465939317297933
Logistic Regression,SMOTE,SHAP,13,fiber_g,0.08437756482412202
Logistic Regression,SMOTE,SHAP,14,healthcare_visits_past_12_months,0.07856664792045265
Logistic Regression,SMOTE,SHAP,15,mean_systolic_bp,0.07788522448466026
Logistic Regression,SMOTE,SHAP,16,education_level,0.07599859869641444
Logistic Regression,SMOTE,SHAP,17,vigorous_recreational_activity,0.07256815247944808
Logistic Regression,SMOTE,SHAP,18,moderate_work_activity,0.06303049094041009
Logistic Regression,SMOTE,SHAP,19,total_fat_g,0.055574818018158036
Logistic Regression,SMOTE,SHAP,20,mean_diastolic_bp,0.05402399645077872
Logistic Regression,SMOTE,SHAP,21,energy_kcal,0.04874828026538396
Logistic Regression,SMOTE,SHAP,22,sex,0.04870558995392088
Logistic Regression,SMOTE,SHAP,23,income_poverty_ratio,0.04706566036454186
Logistic Regression,SMOTE,SHAP,24,carbohydrate_g,0.043383974836744624
Logistic Regression,SMOTE,SHAP,25,race_ethnicity_3.0,0.041088366390383525
Logistic Regression,SMOTE,SHAP,26,race_ethnicity_2.0,0.0371608931846751
Logistic Regression,SMOTE,SHAP,27,ever_smoked_100_cigarettes,0.035830048761002126
Logistic Regression,SMOTE,SHAP,28,usual_place_for_healthcare,0.03512860600319849
Logistic Regression,SMOTE,SHAP,29,phq9_score,0.033126515565546154
Logistic Regression,SMOTE,SHAP,30,moderate_recreational_activity,0.03269630536121835
Logistic Regression,SMOTE,SHAP,31,vigorous_work_activity,0.03191804839798338
Logistic Regression,SMOTE,SHAP,32,walk_or_bicycle_transport,0.022530763127072067
Logistic Regression,SMOTE,SHAP,33,protein_g,0.01926041654464546
Logistic Regression,SMOTE,SHAP,34,adult_food_security_category,0.018267944773578605
Logistic Regression,SMOTE,SHAP,35,cholesterol_mg,0.018045707306387642
Logistic Regression,SMOTE,SHAP,36,household_food_security_category,0.013638196438378396
Logistic Regression,SMOTE,SHAP,37,ever_almost_daily_heavy_drinking,0.013190759220893215
Logistic Regression,SMOTE,SHAP,38,trouble_sleeping_reported_to_doctor,0.011915908282095064
Logistic Regression,SMOTE,SHAP,39,has_health_insurance,0.008249890889726807
Logistic Regression,SMOTE,SHAP,40,insurance_gap_past_12_months,0.00805385116141445
Logistic Regression,SMOTE,SHAP,41,sleep_hours,0.007557237722357968
Logistic Regression,SMOTE,SHAP,42,physical_activity_moderate_equivalent_min_week,0.0014208031353211675
Logistic Regression,SMOTE,SHAP,43,sedentary_minutes_per_day,0.00112949591802762
Logistic Regression,SMOTE,Permutation,1,age,0.06143499056994607
Logistic Regression,SMOTE,Permutation,2,family_history_diabetes,0.02404026386768372
Logistic Regression,SMOTE,Permutation,3,self_rated_health,0.021010527088348947
Logistic Regression,SMOTE,Permutation,4,waist_circumference,0.014028050185462548
Logistic Regression,SMOTE,Permutation,5,hdl_cholesterol_mg_dl,0.013484216610221544
Logistic Regression,SMOTE,Permutation,6,ever_told_high_cholesterol,0.005505282858160976
Logistic Regression,SMOTE,Permutation,7,total_sugar_g,0.005495493081247171
Logistic Regression,SMOTE,Permutation,8,race_ethnicity_6.0,0.005135854581132748
Logistic Regression,SMOTE,Permutation,9,ever_told_hypertension,0.0037442577103848572
Logistic Regression,SMOTE,Permutation,10,race_ethnicity_4.0,0.0030573316375652913
Logistic Regression,SMOTE,Permutation,11,healthcare_visits_past_12_months,0.0018050851795090139
Logistic Regression,SMOTE,Permutation,12,mean_systolic_bp,0.0017622805568994703
Logistic Regression,SMOTE,Permutation,13,fiber_g,0.001187375605855584
Logistic Regression,SMOTE,Permutation,14,energy_kcal,0.0009875241304119265
Logistic Regression,SMOTE,Permutation,15,total_cholesterol_mg_dl,0.0009144689764263248
Logistic Regression,SMOTE,Permutation,16,carbohydrate_g,0.0006794781167704211
Logistic Regression,SMOTE,Permutation,17,total_fat_g,0.0004881851516003122
Logistic Regression,SMOTE,Permutation,18,moderate_work_activity,0.0004352406860714364
Logistic Regression,SMOTE,Permutation,19,sex,0.00039783190844395187
Logistic Regression,SMOTE,Permutation,20,ever_smoked_100_cigarettes,0.0003781316422006908
Logistic Regression,SMOTE,Permutation,21,bmi,0.00037412398999920883
Logistic Regression,SMOTE,Permutation,22,phq9_score,0.0002803545854783984
Logistic Regression,SMOTE,Permutation,23,race_ethnicity_2.0,0.00027952166981002333
Logistic Regression,SMOTE,Permutation,24,cholesterol_mg,0.00023417001522910152
Logistic Regression,SMOTE,Permutation,25,vigorous_work_activity,0.00021832047504680708
Logistic Regression,SMOTE,Permutation,26,vigorous_recreational_activity,0.00020395569757777343
Logistic Regression,SMOTE,Permutation,27,usual_place_for_healthcare,0.0001878043763561932
Logistic Regression,SMOTE,Permutation,28,mean_diastolic_bp,0.00014924883077953034
Logistic Regression,SMOTE,Permutation,29,ever_almost_daily_heavy_drinking,0.0001424889354999792
Logistic Regression,SMOTE,Permutation,30,education_level,0.00013904863165235538
Logistic Regression,SMOTE,Permutation,31,walk_or_bicycle_transport,1.0888259896685293e-05
Logistic Regression,SMOTE,Permutation,32,physical_activity_moderate_equivalent_min_week,3.0660953589389806e-06
Logistic Regression,SMOTE,Permutation,33,sedentary_minutes_per_day,-1.6972165648354577e-05
Logistic Regression,SMOTE,Permutation,34,protein_g,-1.9313986513053162e-05
Logistic Regression,SMOTE,Permutation,35,trouble_sleeping_reported_to_doctor,-2.244043807984597e-05
Logistic Regression,SMOTE,Permutation,36,insurance_gap_past_12_months,-3.1723222847712676e-05
Logistic Regression,SMOTE,Permutation,37,has_health_insurance,-3.216985878579104e-05
Logistic Regression,SMOTE,Permutation,38,household_food_security_category,-3.882111289122969e-05
Logistic Regression,SMOTE,Permutation,39,adult_food_security_category,-4.164578341877001e-05
Logistic Regression,SMOTE,Permutation,40,sleep_hours,-8.467975961809482e-05
Logistic Regression,SMOTE,Permutation,41,income_poverty_ratio,-0.0003397571652475506
Logistic Regression,SMOTE,Permutation,42,moderate_recreational_activity,-0.0004068370546557065
Logistic Regression,SMOTE,Permutation,43,race_ethnicity_3.0,-0.0005302775709571606
Logistic Regression,SMOTE,Coefficient,1,family_history_diabetes,0.6331900176414238
Logistic Regression,SMOTE,Coefficient,2,age,0.6207398574213623
Logistic Regression,SMOTE,Coefficient,3,race_ethnicity_6.0,0.4165782367125021
Logistic Regression,SMOTE,Coefficient,4,self_rated_health,0.4041242690805377
Logistic Regression,SMOTE,Coefficient,5,race_ethnicity_4.0,0.38843116442179876
Logistic Regression,SMOTE,Coefficient,6,waist_circumference,0.3422982419801292
Logistic Regression,SMOTE,Coefficient,7,ever_told_high_cholesterol,0.33658341233791306
Logistic Regression,SMOTE,Coefficient,8,hdl_cholesterol_mg_dl,0.2821896694143467
Logistic Regression,SMOTE,Coefficient,9,ever_told_hypertension,0.2761076132588824
Logistic Regression,SMOTE,Coefficient,10,race_ethnicity_2.0,0.22570155643841164
Logistic Regression,SMOTE,Coefficient,11,vigorous_recreational_activity,0.2085015210698902
Logistic Regression,SMOTE,Coefficient,12,total_sugar_g,0.20179926927633843
Logistic Regression,SMOTE,Coefficient,13,bmi,0.13274820751020283
Logistic Regression,SMOTE,Coefficient,14,total_cholesterol_mg_dl,0.13117284485497688
Logistic Regression,SMOTE,Coefficient,15,usual_place_for_healthcare,0.13000594358800366
