Model,Strategy,Method,Rank,Feature,Importance
Logistic Regression,Undersampling,SHAP,1,age,0.6535482310805784
Logistic Regression,Undersampling,SHAP,2,family_history_diabetes,0.5424510820551747
Logistic Regression,Undersampling,SHAP,3,waist_circumference,0.33693256277874484
Logistic Regression,Undersampling,SHAP,4,self_rated_health,0.3220717604405974
Logistic Regression,Undersampling,SHAP,5,energy_kcal,0.29491537865455475
Logistic Regression,Undersampling,SHAP,6,race_ethnicity_3.0,0.2572673688125274
Logistic Regression,Undersampling,SHAP,7,ever_told_high_cholesterol,0.19947330808864064
Logistic Regression,Undersampling,SHAP,8,hdl_cholesterol_mg_dl,0.19532027482339007
Logistic Regression,Undersampling,SHAP,9,total_fat_g,0.17372379066100394
Logistic Regression,Undersampling,SHAP,10,total_sugar_g,0.1483565965761969
Logistic Regression,Undersampling,SHAP,11,vigorous_recreational_activity,0.14545203496554482
Logistic Regression,Undersampling,SHAP,12,ever_told_hypertension,0.13368321216763487
Logistic Regression,Undersampling,SHAP,13,sex,0.13188641968402567
Logistic Regression,Undersampling,SHAP,14,mean_systolic_bp,0.11507694951714996
Logistic Regression,Undersampling,SHAP,15,household_food_security_category,0.11072768936925835
Logistic Regression,Undersampling,SHAP,16,race_ethnicity_6.0,0.10902032844102044
Logistic Regression,Undersampling,SHAP,17,bmi,0.09787909078640417
Logistic Regression,Undersampling,SHAP,18,total_cholesterol_mg_dl,0.0897930067461583
Logistic Regression,Undersampling,SHAP,19,mean_diastolic_bp,0.08619284972343123
Logistic Regression,Undersampling,SHAP,20,healthcare_visits_past_12_months,0.07876327616177714
Logistic Regression,Undersampling,SHAP,21,fiber_g,0.06596710905257816
Logistic Regression,Undersampling,SHAP,22,protein_g,0.05959402903611959
Logistic Regression,Undersampling,SHAP,23,carbohydrate_g,0.057580891144404144
Logistic Regression,Undersampling,SHAP,24,has_health_insurance,0.05524222575624123
Logistic Regression,Undersampling,SHAP,25,usual_place_for_healthcare,0.05072882990204354
Logistic Regression,Undersampling,SHAP,26,ever_smoked_100_cigarettes,0.047513071906551754
Logistic Regression,Undersampling,SHAP,27,cholesterol_mg,0.0443801619287688
Logistic Regression,Undersampling,SHAP,28,education_level,0.03653701008206419
Logistic Regression,Undersampling,SHAP,29,income_poverty_ratio,0.03250482827363781
Logistic Regression,Undersampling,SHAP,30,moderate_work_activity,0.027644911651231698
Logistic Regression,Undersampling,SHAP,31,adult_food_security_category,0.019619101714576415
Logistic Regression,Undersampling,SHAP,32,moderate_recreational_activity,0.019615363845132624
Logistic Regression,Undersampling,SHAP,33,phq9_score,0.016385480797087154
Logistic Regression,Undersampling,SHAP,34,walk_or_bicycle_transport,0.012850638511087966
Logistic Regression,Undersampling,SHAP,35,race_ethnicity_4.0,0.012846028574292921
Logistic Regression,Undersampling,SHAP,36,vigorous_work_activity,0.01138655833786992
Logistic Regression,Undersampling,SHAP,37,trouble_sleeping_reported_to_doctor,0.010230682903448961
Logistic Regression,Undersampling,SHAP,38,sedentary_minutes_per_day,0.007843441646474079
Logistic Regression,Undersampling,SHAP,39,race_ethnicity_2.0,0.0061740836981095575
Logistic Regression,Undersampling,SHAP,40,ever_almost_daily_heavy_drinking,0.005282313347548959
Logistic Regression,Undersampling,SHAP,41,sleep_hours,0.004961135274842173
Logistic Regression,Undersampling,SHAP,42,insurance_gap_past_12_months,0.0029606558532162663
Logistic Regression,Undersampling,SHAP,43,physical_activity_moderate_equivalent_min_week,0.002368798453846835
Logistic Regression,Undersampling,Permutation,1,age,0.06673920275726483
Logistic Regression,Undersampling,Permutation,2,family_history_diabetes,0.03615924719874783
Logistic Regression,Undersampling,Permutation,3,waist_circumference,0.01776232497906861
Logistic Regression,Undersampling,Permutation,4,energy_kcal,0.01724631561564795
Logistic Regression,Undersampling,Permutation,5,self_rated_health,0.014387109265981763
Logistic Regression,Undersampling,Permutation,6,hdl_cholesterol_mg_dl,0.009376312747520942
Logistic Regression,Undersampling,Permutation,7,ever_told_high_cholesterol,0.006681540850530171
Logistic Regression,Undersampling,Permutation,8,race_ethnicity_3.0,0.00601809334256555
Logistic Regression,Undersampling,Permutation,9,total_sugar_g,0.004304616815336215
Logistic Regression,Undersampling,Permutation,10,total_fat_g,0.004003704905463012
Logistic Regression,Undersampling,Permutation,11,ever_told_hypertension,0.0034938277327602628
Logistic Regression,Undersampling,Permutation,12,race_ethnicity_6.0,0.003345918809795001
Logistic Regression,Undersampling,Permutation,13,mean_systolic_bp,0.002407669487474534
Logistic Regression,Undersampling,Permutation,14,healthcare_visits_past_12_months,0.0019385931112805676
Logistic Regression,Undersampling,Permutation,15,vigorous_recreational_activity,0.0013360691595230123
Logistic Regression,Undersampling,Permutation,16,sex,0.001181508982452406
Logistic Regression,Undersampling,Permutation,17,total_cholesterol_mg_dl,0.0009026150172041058
Logistic Regression,Undersampling,Permutation,18,mean_diastolic_bp,0.0005014997310528735
Logistic Regression,Undersampling,Permutation,19,usual_place_for_healthcare,0.00045286469876472667
Logistic Regression,Undersampling,Permutation,20,adult_food_security_category,0.00034813460689775975
Logistic Regression,Undersampling,Permutation,21,cholesterol_mg,0.0002868247709603866
Logistic Regression,Undersampling,Permutation,22,bmi,0.0002863781350222916
Logistic Regression,Undersampling,Permutation,23,ever_smoked_100_cigarettes,0.00022412674224248642
Logistic Regression,Undersampling,Permutation,24,moderate_work_activity,0.0002007688898032156
Logistic Regression,Undersampling,Permutation,25,fiber_g,0.00016863524474214353
Logistic Regression,Undersampling,Permutation,26,carbohydrate_g,0.00015434289472247565
Logistic Regression,Undersampling,Permutation,27,has_health_insurance,0.00013502890820942803
Logistic Regression,Undersampling,Permutation,28,phq9_score,7.056847822217716e-05
Logistic Regression,Undersampling,Permutation,29,household_food_security_category,5.137520412483165e-05
Logistic Regression,Undersampling,Permutation,30,walk_or_bicycle_transport,4.897302705229034e-05
Logistic Regression,Undersampling,Permutation,31,trouble_sleeping_reported_to_doctor,4.250284157039652e-05
Logistic Regression,Undersampling,Permutation,32,ever_almost_daily_heavy_drinking,3.2447497342064094e-05
Logistic Regression,Undersampling,Permutation,33,protein_g,2.9936679095365905e-05
Logistic Regression,Undersampling,Permutation,34,insurance_gap_past_12_months,-5.480343672931154e-06
Logistic Regression,Undersampling,Permutation,35,race_ethnicity_4.0,-2.9731467988375337e-05
Logistic Regression,Undersampling,Permutation,36,physical_activity_moderate_equivalent_min_week,-3.355805156626257e-05
Logistic Regression,Undersampling,Permutation,37,sleep_hours,-3.80726959137101e-05
Logistic Regression,Undersampling,Permutation,38,sedentary_minutes_per_day,-4.6100071558191626e-05
Logistic Regression,Undersampling,Permutation,39,race_ethnicity_2.0,-7.74249434340013e-05
Logistic Regression,Undersampling,Permutation,40,vigorous_work_activity,-0.00010348675398503815
Logistic Regression,Undersampling,Permutation,41,moderate_recreational_activity,-0.00018501591955323305
Logistic Regression,Undersampling,Permutation,42,education_level,-0.00022352318016362615
Logistic Regression,Undersampling,Permutation,43,income_poverty_ratio,-0.00030868578944457937
Logistic Regression,Undersampling,Coefficient,1,family_history_diabetes,1.1349262197983858
Logistic Regression,Undersampling,Coefficient,2,age,0.7587777552167911
Logistic Regression,Undersampling,Coefficient,3,race_ethnicity_3.0,0.531459684500692
Logistic Regression,Undersampling,Coefficient,4,race_ethnicity_6.0,0.479778019544098
Logistic Regression,Undersampling,Coefficient,5,ever_told_high_cholesterol,0.4777275667641214
