Model,Strategy,Method,Rank,Feature,Importance
Random Forest,SMOTE,SHAP,1,family_history_diabetes,0.08804619606469839
Random Forest,SMOTE,SHAP,2,ever_told_hypertension,0.0832448955581106
Random Forest,SMOTE,SHAP,3,age,0.06596627427839531
Random Forest,SMOTE,SHAP,4,ever_told_high_cholesterol,0.056141336999304715
Random Forest,SMOTE,SHAP,5,waist_circumference,0.03545774305961994
Random Forest,SMOTE,SHAP,6,bmi,0.020856690642056506
Random Forest,SMOTE,SHAP,7,vigorous_recreational_activity,0.0194366680470232
Random Forest,SMOTE,SHAP,8,total_cholesterol_mg_dl,0.01908682078566891
Random Forest,SMOTE,SHAP,9,hdl_cholesterol_mg_dl,0.017277711552926452
Random Forest,SMOTE,SHAP,10,education_level,0.016354621921872516
Random Forest,SMOTE,SHAP,11,moderate_recreational_activity,0.015262562502610525
Random Forest,SMOTE,SHAP,12,sex,0.015051236460548947
Random Forest,SMOTE,SHAP,13,ever_smoked_100_cigarettes,0.013967264359698235
Random Forest,SMOTE,SHAP,14,mean_systolic_bp,0.013819919574524253
Random Forest,SMOTE,SHAP,15,trouble_sleeping_reported_to_doctor,0.013155724629004956
Random Forest,SMOTE,SHAP,16,income_poverty_ratio,0.010788633527867242
Random Forest,SMOTE,SHAP,17,self_rated_health,0.010007152050468966
Random Forest,SMOTE,SHAP,18,total_sugar_g,0.009875579198118793
Random Forest,SMOTE,SHAP,19,race_ethnicity_4.0,0.009705624357258804
Random Forest,SMOTE,SHAP,20,phq9_score,0.00820180632134227
Random Forest,SMOTE,SHAP,21,moderate_work_activity,0.006696697303175404
Random Forest,SMOTE,SHAP,22,has_health_insurance,0.006532621992358357
Random Forest,SMOTE,SHAP,23,race_ethnicity_6.0,0.006336227916004314
Random Forest,SMOTE,SHAP,24,usual_place_for_healthcare,0.005990533847383271
Random Forest,SMOTE,SHAP,25,mean_diastolic_bp,0.005637972300365937
Random Forest,SMOTE,SHAP,26,healthcare_visits_past_12_months,0.004654736809737912
Random Forest,SMOTE,SHAP,27,walk_or_bicycle_transport,0.004487200254464444
Random Forest,SMOTE,SHAP,28,carbohydrate_g,0.004114609000938578
Random Forest,SMOTE,SHAP,29,energy_kcal,0.0035986735429450823
Random Forest,SMOTE,SHAP,30,fiber_g,0.0033616154254317693
Random Forest,SMOTE,SHAP,31,physical_activity_moderate_equivalent_min_week,0.002975073865356748
Random Forest,SMOTE,SHAP,32,sedentary_minutes_per_day,0.002591691959778233
Random Forest,SMOTE,SHAP,33,cholesterol_mg,0.002482450601897189
Random Forest,SMOTE,SHAP,34,sleep_hours,0.0023567633455016538
Random Forest,SMOTE,SHAP,35,race_ethnicity_2.0,0.0022458152443054252
Random Forest,SMOTE,SHAP,36,ever_almost_daily_heavy_drinking,0.001704873908851386
Random Forest,SMOTE,SHAP,37,protein_g,0.001594218106533758
Random Forest,SMOTE,SHAP,38,total_fat_g,0.0015664879749619132
Random Forest,SMOTE,SHAP,39,vigorous_work_activity,0.0015515803506791586
Random Forest,SMOTE,SHAP,40,race_ethnicity_3.0,0.0012096480561020763
Random Forest,SMOTE,SHAP,41,household_food_security_category,0.0006963896079577799
Random Forest,SMOTE,SHAP,42,adult_food_security_category,0.0006633157316453983
Random Forest,SMOTE,SHAP,43,insurance_gap_past_12_months,0.00036012601096672997
Random Forest,SMOTE,Permutation,1,age,0.046864663999405
Random Forest,SMOTE,Permutation,2,family_history_diabetes,0.03760396960364791
Random Forest,SMOTE,Permutation,3,ever_told_hypertension,0.013486341148737863
Random Forest,SMOTE,Permutation,4,total_cholesterol_mg_dl,0.00972296259170508
Random Forest,SMOTE,Permutation,5,waist_circumference,0.009633200839385753
Random Forest,SMOTE,Permutation,6,ever_told_high_cholesterol,0.00878921584249046
Random Forest,SMOTE,Permutation,7,hdl_cholesterol_mg_dl,0.006820348057350834
Random Forest,SMOTE,Permutation,8,self_rated_health,0.004489825874754477
Random Forest,SMOTE,Permutation,9,total_sugar_g,0.0032177101530728447
Random Forest,SMOTE,Permutation,10,bmi,0.0030758006371683134
Random Forest,SMOTE,Permutation,11,race_ethnicity_6.0,0.0024325483163513684
Random Forest,SMOTE,Permutation,12,race_ethnicity_4.0,0.0016011898381390055
Random Forest,SMOTE,Permutation,13,mean_diastolic_bp,0.0013434326168808796
Random Forest,SMOTE,Permutation,14,mean_systolic_bp,0.0012901380853464262
Random Forest,SMOTE,Permutation,15,sex,0.0010973120724968588
Random Forest,SMOTE,Permutation,16,healthcare_visits_past_12_months,0.0010516103519103647
Random Forest,SMOTE,Permutation,17,vigorous_recreational_activity,0.0008790278111747652
Random Forest,SMOTE,Permutation,18,carbohydrate_g,0.0005013186624290622
Random Forest,SMOTE,Permutation,19,race_ethnicity_3.0,0.00047291503101328793
Random Forest,SMOTE,Permutation,20,moderate_work_activity,0.00040071693517925165
Random Forest,SMOTE,Permutation,21,trouble_sleeping_reported_to_doctor,0.00039808540451682364
Random Forest,SMOTE,Permutation,22,sedentary_minutes_per_day,0.00038087181403708147
Random Forest,SMOTE,Permutation,23,income_poverty_ratio,0.0003046057097937149
Random Forest,SMOTE,Permutation,24,usual_place_for_healthcare,0.0002539789226464473
