Model,Strategy,Method,Rank,Feature,Importance
Random Forest,Undersampling,SHAP,1,age,0.09369175324062348
Random Forest,Undersampling,SHAP,2,family_history_diabetes,0.07517917137399968
Random Forest,Undersampling,SHAP,3,ever_told_hypertension,0.04977513174634339
Random Forest,Undersampling,SHAP,4,waist_circumference,0.04462580767597672
Random Forest,Undersampling,SHAP,5,self_rated_health,0.0409568845499986
Random Forest,Undersampling,SHAP,6,ever_told_high_cholesterol,0.030910331287325822
Random Forest,Undersampling,SHAP,7,bmi,0.027132838004488333
Random Forest,Undersampling,SHAP,8,hdl_cholesterol_mg_dl,0.026301196483956377
Random Forest,Undersampling,SHAP,9,total_cholesterol_mg_dl,0.02454258667611632
Random Forest,Undersampling,SHAP,10,mean_systolic_bp,0.021809061889540748
Random Forest,Undersampling,SHAP,11,healthcare_visits_past_12_months,0.0203935401933637
Random Forest,Undersampling,SHAP,12,total_sugar_g,0.01854024032365204
Random Forest,Undersampling,SHAP,13,vigorous_recreational_activity,0.013555465691884793
Random Forest,Undersampling,SHAP,14,race_ethnicity_3.0,0.011593285200886821
Random Forest,Undersampling,SHAP,15,education_level,0.008888445678755068
Random Forest,Undersampling,SHAP,16,physical_activity_moderate_equivalent_min_week,0.008052288306088024
Random Forest,Undersampling,SHAP,17,carbohydrate_g,0.007820409580251987
Random Forest,Undersampling,SHAP,18,income_poverty_ratio,0.007193428336134576
Random Forest,Undersampling,SHAP,19,mean_diastolic_bp,0.0063847940304112595
Random Forest,Undersampling,SHAP,20,energy_kcal,0.0051515073630890975
Random Forest,Undersampling,SHAP,21,fiber_g,0.004648964221557702
Random Forest,Undersampling,SHAP,22,usual_place_for_healthcare,0.0035847640958626185
Random Forest,Undersampling,SHAP,23,sex,0.0032310722763788276
Random Forest,Undersampling,SHAP,24,household_food_security_category,0.0030266586042853425
Random Forest,Undersampling,SHAP,25,cholesterol_mg,0.0028409181354459743
Random Forest,Undersampling,SHAP,26,moderate_recreational_activity,0.0028346926675897693
Random Forest,Undersampling,SHAP,27,adult_food_security_category,0.002772648961399478
